File,RelativePath,Folder,Date,Date1,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger,Comment
04300244.JPG,NPR1,NPR1 - April to June,30-Apr-17,April,5:13:54,Dark,FALSE,Dark,TRUE,TRUE,13,FALSE,Unidentified
05030319.JPG,NPR1,NPR1 - April to June,03-May-17,May,8:00:02,Ok,FALSE,Shade,TRUE,TRUE,15,FALSE,Unidentified
05060402.JPG,NPR1,NPR1 - April to June,06-May-17,May,17:40:01,Dark,FALSE,Shade,TRUE,TRUE,20,FALSE,Baboon
05090478.JPG,NPR1,NPR1 - April to June,09-May-17,May,19:08:15,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE,Jackal
05100488.JPG,NPR1,NPR1 - April to June,10-May-17,May,3:37:13,Dark,FALSE,Dark,TRUE,TRUE,5,FALSE,Kudu
05140591.JPG,NPR1,NPR1 - April to June,14-May-17,May,9:02:14,Ok,FALSE,Sunny,TRUE,TRUE,11,FALSE,Baboon
05180684.JPG,NPR1,NPR1 - April to June,18-May-17,May,5:53:15,Dark,FALSE,Dark,TRUE,TRUE,10,FALSE,Unidentified
05190721.JPG,NPR1,NPR1 - April to June,19-May-17,May,17:36:06,Ok,FALSE,Shade,TRUE,TRUE,23,FALSE,Jackal
05210771.JPG,NPR1,NPR1 - April to June,21-May-17,May,18:23:56,Dark,FALSE,Dark,TRUE,TRUE,21,FALSE,Klipspringer
05240835.JPG,NPR1,NPR1 - April to June,24-May-17,May,10:00:02,Ok,FALSE,Sunny,TRUE,TRUE,22,FALSE,Cattle
05240836.JPG,NPR1,NPR1 - April to June,24-May-17,May,10:34:45,Ok,FALSE,Sunny,TRUE,TRUE,22,FALSE,Cattle
05240844.JPG,NPR1,NPR1 - April to June,24-May-17,May,16:23:45,Ok,FALSE,Shade,TRUE,TRUE,21,FALSE,Cattle
05240846.JPG,NPR1,NPR1 - April to June,24-May-17,May,17:29:59,Ok,FALSE,Shade,TRUE,TRUE,20,FALSE,Baboon
05250870.JPG,NPR1,NPR1 - April to June,25-May-17,May,16:48:24,Ok,FALSE,Shade,TRUE,TRUE,16,FALSE,Baboon
05250871.JPG,NPR1,NPR1 - April to June,25-May-17,May,17:00:02,Ok,FALSE,Shade,TRUE,TRUE,16,FALSE,Baboon
05250872.JPG,NPR1,NPR1 - April to June,25-May-17,May,17:03:28,Ok,FALSE,Shade,TRUE,TRUE,16,FALSE,Baboon
05300991.JPG,NPR1,NPR1 - April to June,30-May-17,May,14:32:30,Ok,FALSE,Shade,TRUE,TRUE,30,FALSE,Baboon
06030092.JPG,NPR1,NPR1 - April to June,03-Jun-17,,15:04:41,Dark,FALSE,Shade,TRUE,TRUE,31,FALSE,Baboon
06040111.JPG,NPR1,NPR1 - April to June,04-Jun-17,,9:25:57,Ok,FALSE,Sunny,TRUE,TRUE,13,FALSE,Klipspringer
06070187.JPG,NPR1,NPR1 - April to June,07-Jun-17,,9:56:40,Ok,FALSE,Sunny,TRUE,TRUE,12,FALSE,Jackal
06080206.JPG,NPR1,NPR1 - April to June,08-Jun-17,,3:00:28,Dark,FALSE,Dark,TRUE,TRUE,5,FALSE,Jackal
06080221.JPG,NPR1,NPR1 - April to June,08-Jun-17,,17:06:24,Dark,FALSE,Dark,TRUE,TRUE,10,FALSE,Jackal
06100264.JPG,NPR1,NPR1 - April to June,10-Jun-17,,10:40:23,Ok,FALSE,Sunny,TRUE,TRUE,17,FALSE,Baboon
06110296.JPG,NPR1,NPR1 - April to June,11-Jun-17,,17:58:11,Dark,FALSE,Dark,TRUE,TRUE,12,FALSE,Baboon
06130331.JPG,NPR1,NPR1 - April to June,13-Jun-17,,2:00:53,Dark,FALSE,Dark,TRUE,TRUE,8,FALSE,Jackal
06130334.JPG,NPR1,NPR1 - April to June,13-Jun-17,,4:05:31,Dark,FALSE,Dark,TRUE,TRUE,7,FALSE,Cattle
06140362.JPG,NPR1,NPR1 - April to June,14-Jun-17,,7:17:53,Dark,FALSE,Dark,TRUE,TRUE,5,FALSE,Eland
06170430.JPG,NPR1,NPR1 - April to June,17-Jun-17,,2:21:24,Dark,FALSE,Dark,TRUE,TRUE,12,FALSE,Klipspringer
06170440.JPG,NPR1,NPR1 - April to June,17-Jun-17,,11:33:49,Ok,FALSE,Sunny,TRUE,TRUE,15,FALSE,Cattle
06210529.JPG,NPR1,NPR1 - April to June,21-Jun-17,,3:35:31,Dark,FALSE,Dark,TRUE,TRUE,5,FALSE,Eland
06210543.JPG,NPR1,NPR1 - April to June,21-Jun-17,,16:13:13,Dark,FALSE,Shade,TRUE,TRUE,20,FALSE,Baboon
06230593.JPG,NPR1,NPR1 - April to June,23-Jun-17,,17:42:29,Dark,FALSE,Dark,TRUE,TRUE,10,FALSE,Jackal
06250642.JPG,NPR1,NPR1 - April to June,25-Jun-17,,18:00:02,Dark,FALSE,Dark,TRUE,TRUE,10,FALSE,Eland
06250643.JPG,NPR1,NPR1 - April to June,25-Jun-17,,18:00:56,Dark,FALSE,Dark,TRUE,TRUE,10,FALSE,Eland
06250646.JPG,NPR1,NPR1 - April to June,25-Jun-17,,20:14:19,Dark,FALSE,Dark,TRUE,TRUE,5,FALSE,Eland
06270693.JPG,NPR1,NPR1 - April to June,27-Jun-17,,18:10:23,Dark,FALSE,Dark,TRUE,TRUE,20,FALSE,Jackal
06270696.JPG,NPR1,NPR1 - April to June,27-Jun-17,,20:52:48,Dark,FALSE,Dark,TRUE,TRUE,13,FALSE,Jackal
