Count of Comment,Column Labels,,,,,,,,,,,,,
Row Labels,African Wild Cat,Antelope,Baboon,Bird,Caracal,Eland,Jackal,Klipspringer,Kudu,Porcupine,Steenbok,Unidentified,(blank),Grand Total
(blank),,,,,,,,,,,,,,
June,,,,,,,1,,,,,,,1
July,,,1,,,1,4,1,,1,,1,,9
August,,,1,,1,1,4,,,,,,,7
Sept,,,1,,,,3,,,1,,4,,9
Oct,1,,4,2,,,1,2,,,1,4,,15
Nov,,4,2,1,,,1,1,1,,,1,,11
Grand Total,1,4,9,3,1,2,14,4,1,2,1,10,,52
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Row Labels,African Wild Cat,Baboon,Caracal,Eland,Jackal,Klipspringer,Kudu,Porcupine,Steenbok,Unidentified,,,,
June,0,0,0,0,1,0,0,0,0,0,,,,
July,0,1,0,1,1,1,0,1,0,1,,,,
August,0,1,1,1,1,0,0,0,0,0,,,,
Sept,0,1,0,0,1,0,0,1,0,1,,,,
Oct,1,1,0,0,1,1,0,0,1,1,,,,
Nov,0,1,0,0,1,1,1,0,0,1,,,,
