File,RelativePath,Folder,Date,Date1,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger,Comment
12180116.JPG,NPR1-2017-11-21-end\100EK113,NPR1,18-Dec-17,,17:28:19,Ok,FALSE,Shade,TRUE,TRUE,21,FALSE,Baboon
12190117.JPG,NPR1-2017-11-21-end\100EK113,NPR1,19-Dec-17,,11:13:30,Ok,FALSE,Sunny,TRUE,TRUE,22,FALSE,Baboon
12190118.JPG,NPR1-2017-11-21-end\100EK113,NPR1,19-Dec-17,,12:51:58,Ok,FALSE,Sunny,TRUE,TRUE,26,FALSE,Baboon
12190119.JPG,NPR1-2017-11-21-end\100EK113,NPR1,19-Dec-17,,15:20:21,Ok,FALSE,Sunny,TRUE,TRUE,35,FALSE,Baboon
12200120.JPG,NPR1-2017-11-21-end\100EK113,NPR1,20-Dec-17,,16:02:38,Ok,FALSE,Sunny,TRUE,TRUE,42,FALSE,Baboon
12210122.JPG,NPR1-2017-11-21-end\100EK113,NPR1,21-Dec-17,,18:27:20,Ok,FALSE,Sunny,TRUE,TRUE,27,FALSE,Baboon
01080158.JPG,NPR1-2017-11-21-end\100EK113,NPR1,08-Jan-18,Jan,15:35:49,Ok,FALSE,Sunny,TRUE,TRUE,33,FALSE,Baboon
01100162.JPG,NPR1-2017-11-21-end\100EK113,NPR1,10-Jan-18,Jan,13:53:38,Ok,FALSE,Sunny,TRUE,TRUE,33,FALSE,Baboon
02130236.JPG,NPR1-2017-11-21-end\100EK113,NPR1,13-Feb-18,Feb,17:09:55,Dark,FALSE,Shade,TRUE,TRUE,38,FALSE,Baboon
02150237.JPG,NPR1-2017-11-21-end\100EK113,NPR1,15-Feb-18,Feb,18:41:15,Ok,FALSE,Shade,TRUE,TRUE,25,FALSE,Baboon
02200246.JPG,NPR1-2017-11-21-end\100EK113,NPR1,20-Feb-18,Feb,16:57:38,Dark,FALSE,Shade,TRUE,TRUE,36,FALSE,Baboon
02220248.JPG,NPR1-2017-11-21-end\100EK113,NPR1,22-Feb-18,Feb,16:05:05,Ok,FALSE,Sunny,TRUE,TRUE,41,FALSE,Baboon
03040263.JPG,NPR1-2017-11-21-end\100EK113,NPR1,04-Mar-18,,6:49:17,Ok,FALSE,Shade,TRUE,TRUE,12,FALSE,Baboon
03050265.JPG,NPR1-2017-11-21-end\100EK113,NPR1,05-Mar-18,,10:07:21,Ok,FALSE,Sunny,TRUE,TRUE,22,FALSE,Baboon
03080268.JPG,NPR1-2017-11-21-end\100EK113,NPR1,08-Mar-18,,7:31:24,Ok,FALSE,Shade,TRUE,TRUE,15,FALSE,Baboon
03090270.JPG,NPR1-2017-11-21-end\100EK113,NPR1,09-Mar-18,,15:35:13,Ok,FALSE,Sunny,TRUE,TRUE,31,FALSE,Baboon
03090271.JPG,NPR1-2017-11-21-end\100EK113,NPR1,09-Mar-18,,19:00:28,Dark,FALSE,Dark,TRUE,TRUE,22,FALSE,Baboon
03100272.JPG,NPR1-2017-11-21-end\100EK113,NPR1,10-Mar-18,,7:05:12,Ok,FALSE,Shade,TRUE,TRUE,15,FALSE,Baboon
03100273.JPG,NPR1-2017-11-21-end\100EK113,NPR1,10-Mar-18,,14:39:35,Ok,FALSE,Shade,TRUE,TRUE,28,FALSE,Baboon
03100274.JPG,NPR1-2017-11-21-end\100EK113,NPR1,10-Mar-18,,15:44:05,Ok,FALSE,Shade,TRUE,TRUE,28,FALSE,Baboon
03120275.JPG,NPR1-2017-11-21-end\100EK113,NPR1,12-Mar-18,,7:08:58,Ok,FALSE,Shade,TRUE,TRUE,12,FALSE,Baboon
03130276.JPG,NPR1-2017-11-21-end\100EK113,NPR1,13-Mar-18,,15:02:14,Ok,FALSE,Shade,TRUE,TRUE,36,FALSE,Baboon
03130277.JPG,NPR1-2017-11-21-end\100EK113,NPR1,13-Mar-18,,16:05:59,Dark,FALSE,Shade,TRUE,TRUE,38,FALSE,Baboon
03130278.JPG,NPR1-2017-11-21-end\100EK113,NPR1,13-Mar-18,,18:09:48,Ok,FALSE,Shade,TRUE,TRUE,27,FALSE,Baboon
03140280.JPG,NPR1-2017-11-21-end\100EK113,NPR1,14-Mar-18,,16:35:55,Ok,FALSE,Shade,TRUE,TRUE,30,FALSE,Baboon
03170284.JPG,NPR1-2017-11-21-end\100EK113,NPR1,17-Mar-18,,13:06:23,Ok,FALSE,Sunny,TRUE,TRUE,26,FALSE,Baboon
03230291.JPG,NPR1-2017-11-21-end\100EK113,NPR1,23-Mar-18,,17:50:35,Ok,FALSE,Shade,TRUE,TRUE,31,FALSE,Baboon
03280298.JPG,NPR1-2017-11-21-end\100EK113,NPR1,28-Mar-18,,17:24:01,Ok,FALSE,Shade,TRUE,TRUE,31,FALSE,Baboon
03280299.JPG,NPR1-2017-11-21-end\100EK113,NPR1,28-Mar-18,,18:32:10,Ok,FALSE,Shade,TRUE,TRUE,28,FALSE,Baboon
04020303.JPG,NPR1-2017-11-21-end\100EK113,NPR1,02-Apr-18,,17:13:37,Ok,FALSE,Shade,TRUE,TRUE,25,FALSE,Baboon
04050306.JPG,NPR1-2017-11-21-end\100EK113,NPR1,05-Apr-18,,18:39:47,Dark,FALSE,Dark,TRUE,TRUE,25,FALSE,Baboon
04070307.JPG,NPR1-2017-11-21-end\100EK113,NPR1,07-Apr-18,,17:52:41,Ok,FALSE,Shade,TRUE,TRUE,20,FALSE,Baboon
04110311.JPG,NPR1-2017-11-21-end\100EK113,NPR1,11-Apr-18,,17:37:05,Ok,FALSE,Sunny,TRUE,TRUE,21,FALSE,Baboon
04120312.JPG,NPR1-2017-11-21-end\100EK113,NPR1,12-Apr-18,,16:18:09,Ok,FALSE,Sunny,TRUE,TRUE,26,FALSE,Baboon
04150313.JPG,NPR1-2017-11-21-end\100EK113,NPR1,15-Apr-18,,15:29:08,Dark,FALSE,Shade,TRUE,TRUE,28,FALSE,Baboon
04170314.JPG,NPR1-2017-11-21-end\100EK113,NPR1,17-Apr-18,,7:01:15,Dark,FALSE,Dark,TRUE,TRUE,20,FALSE,Baboon
04200317.JPG,NPR1-2017-11-21-end\100EK113,NPR1,20-Apr-18,,7:36:39,Ok,FALSE,Shade,TRUE,TRUE,7,FALSE,Baboon
04210318.JPG,NPR1-2017-11-21-end\100EK113,NPR1,21-Apr-18,,8:45:43,Ok,FALSE,Shade,TRUE,TRUE,10,FALSE,Baboon
04260324.JPG,NPR1-2017-11-21-end\100EK113,NPR1,26-Apr-18,,15:23:28,Dark,FALSE,Shade,TRUE,TRUE,21,FALSE,Baboon
04270325.JPG,NPR1-2017-11-21-end\100EK113,NPR1,27-Apr-18,,15:44:50,Ok,FALSE,Shade,TRUE,TRUE,27,FALSE,Baboon
04270326.JPG,NPR1-2017-11-21-end\100EK113,NPR1,27-Apr-18,,17:38:59,Ok,FALSE,Shade,TRUE,TRUE,21,FALSE,Baboon
04290327.JPG,NPR1-2017-11-21-end\100EK113,NPR1,29-Apr-18,,12:33:38,Ok,FALSE,Shade,TRUE,TRUE,22,FALSE,Baboon
05050332.JPG,NPR1-2017-11-21-end\100EK113,NPR1,05-May-18,,10:25:33,Ok,FALSE,Sunny,TRUE,TRUE,23,FALSE,Baboon
05050333.JPG,NPR1-2017-11-21-end\100EK113,NPR1,05-May-18,,16:01:35,Ok,FALSE,Shade,TRUE,TRUE,31,FALSE,Baboon
05070334.JPG,NPR1-2017-11-21-end\100EK113,NPR1,07-May-18,,17:06:34,Ok,FALSE,Shade,TRUE,TRUE,26,FALSE,Baboon
05110338.JPG,NPR1-2017-11-21-end\100EK113,NPR1,11-May-18,,8:17:16,Ok,FALSE,Shade,TRUE,TRUE,8,FALSE,Baboon
05120340.JPG,NPR1-2017-11-21-end\100EK113,NPR1,12-May-18,,7:22:09,Dark,FALSE,Dark,TRUE,TRUE,10,FALSE,Baboon
05180342.JPG,NPR1-2017-11-21-end\100EK113,NPR1,18-May-18,,7:21:21,Dark,FALSE,Dark,TRUE,TRUE,6,FALSE,Baboon
05200343.JPG,NPR1-2017-11-21-end\100EK113,NPR1,20-May-18,,17:54:45,Dark,FALSE,Dark,TRUE,TRUE,16,FALSE,Baboon
05230345.JPG,NPR1-2017-11-21-end\100EK113,NPR1,23-May-18,,9:54:17,Ok,FALSE,Sunny,TRUE,TRUE,20,FALSE,Baboon
05250348.JPG,NPR1-2017-11-21-end\100EK113,NPR1,25-May-18,,15:49:29,Ok,FALSE,Shade,TRUE,TRUE,16,FALSE,Baboon
06040353.JPG,NPR1-2017-11-21-end\100EK113,NPR1,04-Jun-18,,11:08:48,Ok,FALSE,Sunny,TRUE,TRUE,12,FALSE,Baboon
06100358.JPG,NPR1-2017-11-21-end\100EK113,NPR1,10-Jun-18,,8:05:56,Ok,FALSE,Shade,TRUE,TRUE,10,FALSE,Baboon
06110359.JPG,NPR1-2017-11-21-end\100EK113,NPR1,11-Jun-18,,9:10:57,Ok,FALSE,Shade,TRUE,TRUE,3,FALSE,Baboon
06180361.JPG,NPR1-2017-11-21-end\100EK113,NPR1,18-Jun-18,,8:16:30,Ok,FALSE,Shade,TRUE,TRUE,10,FALSE,Baboon
06180362.JPG,NPR1-2017-11-21-end\100EK113,NPR1,18-Jun-18,,18:12:54,Dark,FALSE,Dark,TRUE,TRUE,13,FALSE,Baboon
12310133.JPG,NPR1-2017-11-21-end\100EK113,NPR1,31-Dec-17,,9:46:39,Ok,FALSE,Sunny,TRUE,TRUE,30,FALSE,Cattle
12310134.JPG,NPR1-2017-11-21-end\100EK113,NPR1,31-Dec-17,,11:01:56,Ok,FALSE,Sunny,TRUE,TRUE,32,FALSE,Cattle
12310135.JPG,NPR1-2017-11-21-end\100EK113,NPR1,31-Dec-17,,12:36:01,Ok,FALSE,Sunny,TRUE,TRUE,38,FALSE,Cattle
12310136.JPG,NPR1-2017-11-21-end\100EK113,NPR1,31-Dec-17,,13:36:56,Ok,FALSE,Sunny,TRUE,TRUE,37,FALSE,Cattle
01150177.JPG,NPR1-2017-11-21-end\100EK113,NPR1,15-Jan-18,Jan,10:38:50,Ok,FALSE,Sunny,TRUE,TRUE,26,FALSE,Cattle
01150178.JPG,NPR1-2017-11-21-end\100EK113,NPR1,15-Jan-18,Jan,12:06:36,Ok,FALSE,Sunny,TRUE,TRUE,31,FALSE,Cattle
01150179.JPG,NPR1-2017-11-21-end\100EK113,NPR1,15-Jan-18,Jan,13:07:56,Ok,FALSE,Sunny,TRUE,TRUE,30,FALSE,Cattle
01150180.JPG,NPR1-2017-11-21-end\100EK113,NPR1,15-Jan-18,Jan,14:24:41,Ok,FALSE,Sunny,TRUE,TRUE,31,FALSE,Cattle
01150181.JPG,NPR1-2017-11-21-end\100EK113,NPR1,15-Jan-18,Jan,15:38:50,Ok,FALSE,Sunny,TRUE,TRUE,32,FALSE,Cattle
01150182.JPG,NPR1-2017-11-21-end\100EK113,NPR1,15-Jan-18,Jan,20:33:11,Dark,FALSE,Dark,TRUE,TRUE,20,FALSE,Cattle
02060212.JPG,NPR1-2017-11-21-end\100EK113,NPR1,06-Feb-18,Feb,17:22:40,Ok,FALSE,Sunny,TRUE,TRUE,31,FALSE,Cattle
02080215.JPG,NPR1-2017-11-21-end\100EK113,NPR1,08-Feb-18,Feb,13:45:08,Ok,FALSE,Shade,TRUE,TRUE,38,FALSE,Cattle
02100223.JPG,NPR1-2017-11-21-end\100EK113,NPR1,10-Feb-18,Feb,13:06:53,Ok,FALSE,Sunny,TRUE,TRUE,30,FALSE,Cattle
02100224.JPG,NPR1-2017-11-21-end\100EK113,NPR1,10-Feb-18,Feb,15:13:48,Ok,FALSE,Sunny,TRUE,TRUE,31,FALSE,Cattle
02110225.JPG,NPR1-2017-11-21-end\100EK113,NPR1,11-Feb-18,Feb,8:26:43,Ok,FALSE,Sunny,TRUE,TRUE,17,FALSE,Cattle
02110226.JPG,NPR1-2017-11-21-end\100EK113,NPR1,11-Feb-18,Feb,10:07:33,Ok,FALSE,Sunny,TRUE,TRUE,22,FALSE,Cattle
02110227.JPG,NPR1-2017-11-21-end\100EK113,NPR1,11-Feb-18,Feb,11:18:17,Ok,FALSE,Sunny,TRUE,TRUE,25,FALSE,Cattle
02110228.JPG,NPR1-2017-11-21-end\100EK113,NPR1,11-Feb-18,Feb,12:27:02,Ok,FALSE,Sunny,TRUE,TRUE,30,FALSE,Cattle
02110229.JPG,NPR1-2017-11-21-end\100EK113,NPR1,11-Feb-18,Feb,15:00:27,Ok,FALSE,Sunny,TRUE,TRUE,33,FALSE,Cattle
02120232.JPG,NPR1-2017-11-21-end\100EK113,NPR1,12-Feb-18,Feb,10:56:35,Ok,FALSE,Sunny,TRUE,TRUE,26,FALSE,Cattle
02120233.JPG,NPR1-2017-11-21-end\100EK113,NPR1,12-Feb-18,Feb,14:04:38,Ok,FALSE,Sunny,TRUE,TRUE,32,FALSE,Cattle
02120234.JPG,NPR1-2017-11-21-end\100EK113,NPR1,12-Feb-18,Feb,15:36:44,Ok,FALSE,Shade,TRUE,TRUE,32,FALSE,Cattle
02190243.JPG,NPR1-2017-11-21-end\100EK113,NPR1,19-Feb-18,Feb,2:53:04,Dark,FALSE,Dark,TRUE,TRUE,17,FALSE,Eland
03280296.JPG,NPR1-2017-11-21-end\100EK113,NPR1,28-Mar-18,,7:22:17,Ok,FALSE,Sunny,TRUE,TRUE,12,FALSE,Eland
04220319.JPG,NPR1-2017-11-21-end\100EK113,NPR1,22-Apr-18,,6:16:17,Dark,FALSE,Dark,TRUE,TRUE,7,FALSE,Eland
05080337.JPG,NPR1-2017-11-21-end\100EK113,NPR1,08-May-18,,23:15:27,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE,Eland
05160341.JPG,NPR1-2017-11-21-end\100EK113,NPR1,16-May-18,,5:45:51,Dark,FALSE,Dark,TRUE,TRUE,10,FALSE,Eland
12030051.JPG,NPR1-2017-11-21-end\100EK113,NPR1,03-Dec-17,,9:25:58,Ok,FALSE,Sunny,TRUE,TRUE,21,FALSE,Jackal
12140106.JPG,NPR1-2017-11-21-end\100EK113,NPR1,14-Dec-17,,19:05:49,Ok,FALSE,Shade,TRUE,TRUE,21,FALSE,Jackal
01160186.JPG,NPR1-2017-11-21-end\100EK113,NPR1,16-Jan-18,Jan,6:20:38,Ok,FALSE,Sunny,TRUE,TRUE,13,FALSE,Jackal
02040210.JPG,NPR1-2017-11-21-end\100EK113,NPR1,04-Feb-18,Feb,21:58:21,Dark,FALSE,Dark,TRUE,TRUE,21,FALSE,Jackal
02080214.JPG,NPR1-2017-11-21-end\100EK113,NPR1,08-Feb-18,Feb,7:01:26,Ok,FALSE,Shade,TRUE,TRUE,20,FALSE,Jackal
02080216.JPG,NPR1-2017-11-21-end\100EK113,NPR1,08-Feb-18,Feb,17:11:13,Ok,FALSE,Shade,TRUE,TRUE,37,FALSE,Jackal
02180240.JPG,NPR1-2017-11-21-end\100EK113,NPR1,18-Feb-18,Feb,5:58:18,Dark,FALSE,Dark,TRUE,TRUE,17,FALSE,Jackal
02280258.JPG,NPR1-2017-11-21-end\100EK113,NPR1,28-Feb-18,Feb,8:42:56,Ok,FALSE,Sunny,TRUE,TRUE,20,FALSE,Jackal
03080267.JPG,NPR1-2017-11-21-end\100EK113,NPR1,08-Mar-18,,1:20:47,Dark,FALSE,Dark,TRUE,TRUE,16,FALSE,Jackal
03170283.JPG,NPR1-2017-11-21-end\100EK113,NPR1,17-Mar-18,,9:02:01,Ok,FALSE,Shade,TRUE,TRUE,15,FALSE,Jackal
03180285.JPG,NPR1-2017-11-21-end\100EK113,NPR1,18-Mar-18,,20:27:23,Dark,FALSE,Dark,TRUE,TRUE,21,FALSE,Jackal
03190286.JPG,NPR1-2017-11-21-end\100EK113,NPR1,19-Mar-18,,23:13:35,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE,Jackal
03220289.JPG,NPR1-2017-11-21-end\100EK113,NPR1,22-Mar-18,,1:10:51,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE,Jackal
