File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger,Comment,
07020101.JPG,NPR2-2-Nov2017\100EK113,NPR2,02-Jul-2017,16:51:02,Ok,false,Shade,false,true,16,false,Steenbok,
07030125.JPG,NPR2-2-Nov2017\100EK113,NPR2,03-Jul-2017,15:31:54,Ok,false,Shade,false,true,21,false,Baboon,
07040150.JPG,NPR2-2-Nov2017\100EK113,NPR2,04-Jul-2017,15:40:33,Ok,false,Shade,false,true,22,false,Baboon,
07050180.JPG,NPR2-2-Nov2017\100EK113,NPR2,05-Jul-2017,20:56:19,Dark,FALSE,Dark,FALSE,TRUE,20,FALSE,Steenbok,
07070219.JPG,NPR2-2-Nov2017\100EK113,NPR2,07-Jul-2017,10:32:51,Ok,false,Sunny,false,true,20,false,Cattle,
07080247.JPG,NPR2-2-Nov2017\100EK113,NPR2,08-Jul-2017,12:18:54,Ok,false,Sunny,false,true,23,false,Cattle,
07090270.JPG,NPR2-2-Nov2017\100EK113,NPR2,09-Jul-2017,09:55:06,Ok,false,Sunny,false,true,15,false,Cattle,
07090271.JPG,NPR2-2-Nov2017\100EK113,NPR2,09-Jul-2017,10:00:01,Ok,false,Sunny,false,true,15,false,Cattle,
07090272.JPG,NPR2-2-Nov2017\100EK113,NPR2,09-Jul-2017,10:01:29,Ok,false,Sunny,false,true,15,false,Cattle,
07100296.JPG,NPR2-2-Nov2017\100EK113,NPR2,10-Jul-2017,09:19:48,Ok,false,Sunny,false,true,3,false,Steenbok,
07100309.JPG,NPR2-2-Nov2017\100EK113,NPR2,10-Jul-2017,21:51:19,Dark,FALSE,Dark,FALSE,TRUE,0,FALSE,Unidentified,
07120347.JPG,NPR2-2-Nov2017\100EK113,NPR2,12-Jul-2017,10:49:04,Ok,false,Sunny,false,true,5,false,Baboon,
07190521.JPG,NPR2-2-Nov2017\100EK113,NPR2,19-Jul-2017,15:00:01,Ok,false,Sunny,false,true,25,false,Caracal,
07280731.JPG,NPR2-2-Nov2017\100EK113,NPR2,28-Jul-2017,05:28:47,Dark,FALSE,Dark,FALSE,TRUE,10,FALSE,Jackal,
07290763.JPG,NPR2-2-Nov2017\100EK113,NPR2,29-Jul-2017,11:21:23,Ok,false,Sunny,false,true,16,false,Baboon,
07300788.JPG,NPR2-2-Nov2017\100EK113,NPR2,30-Jul-2017,11:43:47,Ok,false,Sunny,false,true,17,false,Cattle,
07310817.JPG,NPR2-2-Nov2017\100EK113,NPR2,31-Jul-2017,14:49:16,Ok,false,Sunny,false,true,28,false,Caracal,
08060958.JPG,NPR2-2-Nov2017\100EK113,NPR2,06-Aug-2017,08:53:01,Ok,false,Sunny,false,true,2,false,Steenbok,
08230373.JPG,NPR2-2-Nov2017\101EK113,NPR2,23-Aug-2017,08:50:36,Ok,false,Sunny,false,true,5,false,Steenbok,
08230376.JPG,NPR2-2-Nov2017\101EK113,NPR2,23-Aug-2017,10:19:21,Ok,false,Sunny,false,true,11,false,Baboon,
08270473.JPG,NPR2-2-Nov2017\101EK113,NPR2,27-Aug-2017,09:44:11,Ok,false,Sunny,false,true,11,false,Baboon,
08280500.JPG,NPR2-2-Nov2017\101EK113,NPR2,28-Aug-2017,11:28:20,Ok,false,Sunny,false,true,21,false,Baboon,
08300548.JPG,NPR2-2-Nov2017\101EK113,NPR2,30-Aug-2017,10:39:46,Ok,false,Sunny,false,true,16,false,Steenbok,
08310572.JPG,NPR2-2-Nov2017\101EK113,NPR2,31-Aug-2017,09:05:08,Ok,false,Sunny,false,true,10,false,Cattle,
09020618.JPG,NPR2-2-Nov2017\101EK113,NPR2,02-Sep-2017,06:58:00,Ok,false,Shade,false,true,0,false,Jackal,
09030645.JPG,NPR2-2-Nov2017\101EK113,NPR2,03-Sep-2017,08:42:22,Ok,false,Sunny,false,true,12,false,Jackal,
09050691.JPG,NPR2-2-Nov2017\101EK113,NPR2,05-Sep-2017,04:02:03,Dark,FALSE,Dark,FALSE,true,16,false,Jackal,
09080781.JPG,NPR2-2-Nov2017\101EK113,NPR2,08-Sep-2017,17:46:47,Ok,false,Shade,false,true,21,false,Bird / Dove,
09090797.JPG,NPR2-2-Nov2017\101EK113,NPR2,09-Sep-2017,07:23:12,Ok,false,Shade,false,true,12,false,Baboon,
09100827.JPG,NPR2-2-Nov2017\101EK113,NPR2,10-Sep-2017,10:39:28,Ok,false,Sunny,false,true,20,false,Baboon,
09100828.JPG,NPR2-2-Nov2017\101EK113,NPR2,10-Sep-2017,11:00:02,Ok,false,Sunny,false,true,21,false,Baboon,
09100829.JPG,NPR2-2-Nov2017\101EK113,NPR2,10-Sep-2017,11:04:18,Ok,false,Sunny,false,true,21,false,Baboon,
09120879.JPG,NPR2-2-Nov2017\101EK113,NPR2,12-Sep-2017,11:42:56,Ok,false,Sunny,false,true,21,false,Bird / Cape Sparrow,
09130916.JPG,NPR2-2-Nov2017\101EK113,NPR2,13-Sep-2017,23:28:00,Dark,FALSE,Dark,FALSE,TRUE,10,FALSE,Steenbok,
09150949.JPG,NPR2-2-Nov2017\101EK113,NPR2,15-Sep-2017,07:50:29,Ok,false,Shade,false,true,8,false,Baboon,
09150951.JPG,NPR2-2-Nov2017\101EK113,NPR2,15-Sep-2017,08:06:04,Ok,false,Sunny,false,true,10,false,Baboon,
09160983.JPG,NPR2-2-Nov2017\101EK113,NPR2,16-Sep-2017,14:32:38,Ok,false,Sunny,false,true,20,false,Baboon,
09160985.JPG,NPR2-2-Nov2017\101EK113,NPR2,16-Sep-2017,16:00:02,Ok,false,Sunny,false,true,16,false,Baboon,
09160986.JPG,NPR2-2-Nov2017\101EK113,NPR2,16-Sep-2017,16:02:06,Ok,false,Sunny,false,true,16,false,Baboon,
