File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger,Comment,
04200013.JPG,April - June,NPR3,20-Apr-2017,22:42:00,Dark,false,Dark,false,true,10,false,Steenbok,
04260146.JPG,April - June,NPR3,26-Apr-2017,08:41:51,Ok,false,Sunny,false,true,20,false,African Wild Cat,
05020291.JPG,April - June,NPR3,02-May-2017,08:40:04,Ok,false,Sunny,false,true,11,false,Bird,
05050373.JPG,April - June,NPR3,05-May-2017,17:11:50,Ok,false,Sunny,false,true,25,false,Cattle,
05080448.JPG,April - June,NPR3,08-May-2017,19:19:22,Dark,false,Dark,false,true,15,false,Eland,
05110518.JPG,April - June,NPR3,11-May-2017,16:39:41,Ok,false,Sunny,false,true,10,false,Bird,
05140587.JPG,April - June,NPR3,14-May-2017,12:44:03,Ok,false,Sunny,false,true,21,false,Bird,
05160640.JPG,April - June,NPR3,16-May-2017,16:36:44,Dark,false,Shade,false,true,36,false,Cattle,
05230815.JPG,April - June,NPR3,23-May-2017,22:42:30,Dark,false,Dark,false,true,21,false,Eland,
06070172.JPG,April - June,NPR3,07-Jun-2017,17:28:28,Ok,false,Shade,false,true,10,false,Bird,
06090219.JPG,April - June,NPR3,09-Jun-2017,15:50:26,Ok,false,Sunny,false,true,13,false,Baboon,
06110276.JPG,April - June,NPR3,11-Jun-2017,23:56:59,Dark,false,Dark,false,true,11,false,Unidentified,
06130311.JPG,April - June,NPR3,13-Jun-2017,09:22:40,Ok,false,Sunny,false,true,11,false,Steenbok,
06160394.JPG,April - June,NPR3,16-Jun-2017,18:04:52,Dark,false,Dark,false,true,15,false,Unidentified,
06170416.JPG,April - June,NPR3,17-Jun-2017,15:48:26,Ok,false,Shade,false,true,23,false,African Wild Cat,
06210519.JPG,April - June,NPR3,21-Jun-2017,21:04:31,Dark,false,Dark,false,true,12,false,Unidentified,
06240583.JPG,April - June,NPR3,24-Jun-2017,12:04:03,Ok,false,Sunny,false,true,16,false,Baboon,
06240587.JPG,April - June,NPR3,24-Jun-2017,15:55:20,Ok,false,Shade,false,true,23,false,Baboon,
06270667.JPG,April - June,NPR3,27-Jun-2017,22:08:41,Dark,false,Dark,false,true,15,false,Jackal,
06280670.JPG,April - June,NPR3,28-Jun-2017,00:45:49,Dark,false,Dark,false,true,12,false,Jackal,
06280682.JPG,April - June,NPR3,28-Jun-2017,11:00:54,Ok,false,Sunny,false,true,10,false,Bird,
