File,RelativePath,Folder,Date,Date1,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger,Comment,Method
07080245.JPG,NPR3-2-Nov2017\100EK113,NPR3,08-Jul-17,July,10:39:52,Ok,FALSE,Sunny,FALSE,TRUE,21,FALSE,Baboon,TRUE
09100804.JPG,NPR3-2-Nov2017\101EK113,NPR3,10-Sep-17,Sept,9:52:56,Ok,FALSE,Sunny,FALSE,TRUE,20,FALSE,Baboon,TRUE
09130882.JPG,NPR3-2-Nov2017\101EK113,NPR3,13-Sep-17,Sept,13:04:53,Ok,FALSE,Sunny,FALSE,TRUE,21,FALSE,Baboon,TRUE
09150929.JPG,NPR3-2-Nov2017\101EK113,NPR3,15-Sep-17,Sept,8:22:24,Ok,FALSE,Sunny,FALSE,TRUE,10,FALSE,Baboon,TRUE
09170988.JPG,NPR3-2-Nov2017\101EK113,NPR3,17-Sep-17,Sept,13:05:44,Ok,FALSE,Sunny,FALSE,TRUE,26,FALSE,Baboon,TRUE
11030186.JPG,NPR3-2-Nov2017\103EK113,NPR3,03-Nov-17,Nov,12:00:02,Ok,FALSE,Sunny,FALSE,TRUE,31,FALSE,Baboon,FALSE
07230616.JPG,NPR3-2-Nov2017\100EK113,NPR3,23-Jul-17,July,15:09:01,Ok,FALSE,Sunny,FALSE,TRUE,26,FALSE,Bird,TRUE
08110080.JPG,NPR3-2-Nov2017\101EK113,NPR3,11-Aug-17,August,16:05:33,Ok,FALSE,Sunny,FALSE,TRUE,12,FALSE,Bird,TRUE
08110082.JPG,NPR3-2-Nov2017\101EK113,NPR3,11-Aug-17,August,17:43:23,Ok,FALSE,Shade,FALSE,TRUE,10,FALSE,Bird,TRUE
09020606.JPG,NPR3-2-Nov2017\101EK113,NPR3,02-Sep-17,Sept,7:29:11,Ok,FALSE,Shade,FALSE,TRUE,2,FALSE,Bird,TRUE
09130878.JPG,NPR3-2-Nov2017\101EK113,NPR3,13-Sep-17,Sept,10:24:28,Ok,FALSE,Sunny,FALSE,TRUE,17,FALSE,Bird,TRUE
09130887.JPG,NPR3-2-Nov2017\101EK113,NPR3,13-Sep-17,Sept,17:30:36,Ok,FALSE,Sunny,FALSE,TRUE,16,FALSE,Bird,TRUE
09160958.JPG,NPR3-2-Nov2017\101EK113,NPR3,16-Sep-17,Sept,9:21:31,Ok,FALSE,Sunny,FALSE,TRUE,12,FALSE,Bird,TRUE
09160963.JPG,NPR3-2-Nov2017\101EK113,NPR3,16-Sep-17,Sept,13:14:20,Ok,FALSE,Sunny,FALSE,TRUE,17,FALSE,Bird,TRUE
09260203.JPG,NPR3-2-Nov2017\102EK113,NPR3,26-Sep-17,Sept,8:02:18,Ok,FALSE,Sunny,FALSE,TRUE,7,FALSE,Bird,TRUE
09270233.JPG,NPR3-2-Nov2017\102EK113,NPR3,27-Sep-17,Sept,13:36:28,Ok,FALSE,Sunny,FALSE,TRUE,21,FALSE,Bird,TRUE
09270235.JPG,NPR3-2-Nov2017\102EK113,NPR3,27-Sep-17,Sept,14:00:16,Ok,FALSE,Sunny,FALSE,TRUE,21,FALSE,Bird,TRUE
09290288.JPG,NPR3-2-Nov2017\102EK113,NPR3,29-Sep-17,Sept,17:46:49,Dark,FALSE,Dark,FALSE,TRUE,27,FALSE,Bird,TRUE
10050429.JPG,NPR3-2-Nov2017\102EK113,NPR3,05-Oct-17,Oct,8:09:18,Ok,FALSE,Sunny,FALSE,TRUE,10,FALSE,Bird,TRUE
10050440.JPG,NPR3-2-Nov2017\102EK113,NPR3,05-Oct-17,Oct,18:21:45,Ok,FALSE,Shade,FALSE,TRUE,21,FALSE,Bird,TRUE
10060453.JPG,NPR3-2-Nov2017\102EK113,NPR3,06-Oct-17,Oct,6:08:18,Ok,FALSE,Shade,FALSE,TRUE,3,FALSE,Bird,TRUE
10060456.JPG,NPR3-2-Nov2017\102EK113,NPR3,06-Oct-17,Oct,8:22:12,Ok,FALSE,Sunny,FALSE,TRUE,12,FALSE,Bird,TRUE
10080514.JPG,NPR3-2-Nov2017\102EK113,NPR3,08-Oct-17,Oct,16:32:22,Ok,FALSE,Sunny,FALSE,TRUE,15,FALSE,Bird,TRUE
10090531.JPG,NPR3-2-Nov2017\102EK113,NPR3,09-Oct-17,Oct,7:10:30,Ok,FALSE,Sunny,FALSE,TRUE,10,FALSE,Bird,TRUE
10090535.JPG,NPR3-2-Nov2017\102EK113,NPR3,09-Oct-17,Oct,10:54:32,Ok,FALSE,Sunny,FALSE,TRUE,13,FALSE,Bird,TRUE
10090537.JPG,NPR3-2-Nov2017\102EK113,NPR3,09-Oct-17,Oct,11:04:06,Ok,FALSE,Sunny,FALSE,TRUE,13,FALSE,Bird,TRUE
10090539.JPG,NPR3-2-Nov2017\102EK113,NPR3,09-Oct-17,Oct,12:00:39,Ok,FALSE,Sunny,FALSE,TRUE,17,FALSE,Bird,TRUE
10090541.JPG,NPR3-2-Nov2017\102EK113,NPR3,09-Oct-17,Oct,13:18:08,Ok,FALSE,Sunny,FALSE,TRUE,15,FALSE,Bird,TRUE
10090544.JPG,NPR3-2-Nov2017\102EK113,NPR3,09-Oct-17,Oct,15:22:46,Ok,FALSE,Sunny,FALSE,TRUE,12,FALSE,Bird,TRUE
10100559.JPG,NPR3-2-Nov2017\102EK113,NPR3,10-Oct-17,Oct,5:49:29,Ok,FALSE,Shade,FALSE,TRUE,0,FALSE,Bird,TRUE
10120615.JPG,NPR3-2-Nov2017\102EK113,NPR3,12-Oct-17,Oct,11:30:28,Ok,FALSE,Sunny,FALSE,TRUE,20,FALSE,Bird,TRUE
10120623.JPG,NPR3-2-Nov2017\102EK113,NPR3,12-Oct-17,Oct,17:07:04,Ok,FALSE,Shade,FALSE,TRUE,17,FALSE,Bird,TRUE
10140667.JPG,NPR3-2-Nov2017\102EK113,NPR3,14-Oct-17,Oct,11:39:06,Ok,FALSE,Sunny,FALSE,TRUE,28,FALSE,Bird,TRUE
10150688.JPG,NPR3-2-Nov2017\102EK113,NPR3,15-Oct-17,Oct,6:25:48,Ok,FALSE,Shade,FALSE,TRUE,11,FALSE,Bird,TRUE
10160716.JPG,NPR3-2-Nov2017\102EK113,NPR3,16-Oct-17,Oct,7:12:31,Ok,FALSE,Sunny,FALSE,TRUE,10,FALSE,Bird,TRUE
10170740.JPG,NPR3-2-Nov2017\102EK113,NPR3,17-Oct-17,Oct,5:25:20,Ok,FALSE,Dark,FALSE,TRUE,5,FALSE,Bird,TRUE
10200824.JPG,NPR3-2-Nov2017\102EK113,NPR3,20-Oct-17,Oct,12:00:39,Ok,FALSE,Sunny,FALSE,TRUE,22,FALSE,Bird,TRUE
10220870.JPG,NPR3-2-Nov2017\102EK113,NPR3,22-Oct-17,Oct,9:26:24,Ok,FALSE,Sunny,FALSE,TRUE,20,FALSE,Bird,TRUE
10230892.JPG,NPR3-2-Nov2017\102EK113,NPR3,23-Oct-17,Oct,6:48:24,Ok,FALSE,Shade,FALSE,TRUE,11,FALSE,Bird,TRUE
10260986.JPG,NPR3-2-Nov2017\102EK113,NPR3,26-Oct-17,Oct,18:40:51,Ok,FALSE,Shade,FALSE,TRUE,11,FALSE,Bird,TRUE
10270998.JPG,NPR3-2-Nov2017\102EK113,NPR3,27-Oct-17,Oct,5:08:13,Ok,FALSE,Dark,FALSE,TRUE,6,FALSE,Bird,TRUE
10290059.JPG,NPR3-2-Nov2017\103EK113,NPR3,29-Oct-17,Oct,12:30:08,Ok,FALSE,Sunny,FALSE,TRUE,35,FALSE,Bird,TRUE
10290061.JPG,NPR3-2-Nov2017\103EK113,NPR3,29-Oct-17,Oct,13:04:51,Ok,FALSE,Sunny,FALSE,TRUE,36,FALSE,Bird,TRUE
10290063.JPG,NPR3-2-Nov2017\103EK113,NPR3,29-Oct-17,Oct,14:52:04,Ok,FALSE,Sunny,FALSE,TRUE,37,FALSE,Bird,TRUE
10310109.JPG,NPR3-2-Nov2017\103EK113,NPR3,31-Oct-17,Oct,11:14:40,Ok,FALSE,Sunny,FALSE,TRUE,35,FALSE,Bird,TRUE
11120406.JPG,NPR3-2-Nov2017\103EK113,NPR3,12-Nov-17,Nov,11:48:20,Ok,FALSE,Sunny,FALSE,TRUE,32,FALSE,Bird,TRUE
11150473.JPG,NPR3-2-Nov2017\103EK113,NPR3,15-Nov-17,Nov,4:57:49,Ok,FALSE,Dark,FALSE,TRUE,7,FALSE,Bird,TRUE
11110376.JPG,NPR3-2-Nov2017\103EK113,NPR3,11-Nov-17,Nov,6:38:55,Ok,FALSE,Shade,FALSE,TRUE,15,FALSE,Bird,TRUE
09150940.JPG,NPR3-2-Nov2017\101EK113,NPR3,15-Sep-17,Sept,17:35:40,Ok,FALSE,Sunny,FALSE,TRUE,12,FALSE,Bird,TRUE
11090328.JPG,NPR3-2-Nov2017\103EK113,NPR3,09-Nov-17,Nov,8:06:08,Ok,FALSE,Sunny,FALSE,TRUE,16,FALSE,Bird,TRUE
09020609.JPG,NPR3-2-Nov2017\101EK113,NPR3,02-Sep-17,Sept,9:07:05,Ok,FALSE,Sunny,FALSE,TRUE,15,FALSE,Bird,TRUE
07260683.JPG,NPR3-2-Nov2017\100EK113,NPR3,26-Jul-17,July,7:41:50,Ok,FALSE,Dark,FALSE,TRUE,-1,FALSE,Bird,TRUE
07250660.JPG,NPR3-2-Nov2017\100EK113,NPR3,25-Jul-17,July,9:13:21,Ok,FALSE,Sunny,FALSE,TRUE,10,FALSE,Bird,TRUE
10270007.JPG,NPR3-2-Nov2017\103EK113,NPR3,27-Oct-17,Oct,12:24:34,Ok,FALSE,Sunny,FALSE,TRUE,21,FALSE,Bird,TRUE
10290051.JPG,NPR3-2-Nov2017\103EK113,NPR3,29-Oct-17,Oct,5:26:17,Ok,FALSE,Shade,FALSE,TRUE,5,FALSE,Bird,TRUE
09150938.JPG,NPR3-2-Nov2017\101EK113,NPR3,15-Sep-17,Sept,16:45:40,Ok,FALSE,Sunny,FALSE,TRUE,12,FALSE,Bird,TRUE
09220106.JPG,NPR3-2-Nov2017\102EK113,NPR3,22-Sep-17,Sept,9:44:29,Ok,FALSE,Sunny,FALSE,TRUE,20,FALSE,Bird,TRUE
10020356.JPG,NPR3-2-Nov2017\102EK113,NPR3,02-Oct-17,Oct,11:24:32,Ok,FALSE,Sunny,FALSE,TRUE,26,FALSE,Bird,TRUE
10020350.JPG,NPR3-2-Nov2017\102EK113,NPR3,02-Oct-17,Oct,6:12:03,Ok,FALSE,Shade,FALSE,TRUE,5,FALSE,Bird,TRUE
10310117.JPG,NPR3-2-Nov2017\103EK113,NPR3,31-Oct-17,Oct,17:29:06,Ok,FALSE,Shade,TRUE,TRUE,22,FALSE,Bird,TRUE
11010139.JPG,NPR3-2-Nov2017\103EK113,NPR3,01-Nov-17,Nov,14:11:49,Ok,FALSE,Sunny,TRUE,TRUE,37,FALSE,Bird,TRUE
07170455.JPG,NPR3-2-Nov2017\100EK113,NPR3,17-Jul-17,July,2:01:56,Dark,FALSE,Dark,FALSE,TRUE,0,FALSE,Caracal,TRUE
07240636.JPG,NPR3-2-Nov2017\100EK113,NPR3,24-Jul-17,July,10:55:55,Ok,FALSE,Sunny,FALSE,TRUE,17,FALSE,Cattle,TRUE
07300783.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jul-17,July,10:03:37,Ok,FALSE,Sunny,FALSE,TRUE,15,FALSE,Cattle,TRUE
10150701.JPG,NPR3-2-Nov2017\102EK113,NPR3,15-Oct-17,Oct,18:57:34,Ok,FALSE,Dark,FALSE,TRUE,15,FALSE,Dog,TRUE
