File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger,Comment,
11280179.JPG,NPR3-2017-11-21-end\100EK113,NPR3,28-Nov-2017,13:16:14,Ok,false,Sunny,false,true,30,false,Bird,
11300236.JPG,NPR3-2017-11-21-end\100EK113,NPR3,30-Nov-2017,18:09:49,Ok,false,Shade,false,true,33,false,Kudu,
12060384.JPG,NPR3-2017-11-21-end\100EK113,NPR3,06-Dec-2017,15:20:32,Ok,false,Sunny,false,true,41,false,Bird / Diedrick's cuckoo,
12060391.JPG,NPR3-2017-11-21-end\100EK113,NPR3,06-Dec-2017,21:42:42,Dark,FALSE,Dark,FALSE,true,21,FALSE,Steenbok,
12060394.JPG,NPR3-2017-11-21-end\100EK113,NPR3,06-Dec-2017,23:59:17,Dark,FALSE,Dark,FALSE,true,17,FALSE,Steenbok,
12080429.JPG,NPR3-2017-11-21-end\100EK113,NPR3,08-Dec-2017,09:30:26,Ok,false,Sunny,false,true,35,false,Bird / Cape Whitetail,
12090454.JPG,NPR3-2017-11-21-end\100EK113,NPR3,09-Dec-2017,06:09:12,Ok,false,Sunny,false,true,17,false,Kudu,
12140600.JPG,NPR3-2017-11-21-end\100EK113,NPR3,14-Dec-2017,19:20:21,Dark,FALSE,Shade,FALSE,true,21,FALSE,Steenbok,
12170660.JPG,NPR3-2017-11-21-end\100EK113,NPR3,17-Dec-2017,04:47:41,Dark,FALSE,Dark,FALSE,true,13,FALSE,Steenbok,
12190726.JPG,NPR3-2017-11-21-end\100EK113,NPR3,19-Dec-2017,20:44:14,Dark,FALSE,Dark,FALSE,true,17,FALSE,Steenbok,
12200732.JPG,NPR3-2017-11-21-end\100EK113,NPR3,20-Dec-2017,01:22:01,Dark,FALSE,Dark,FALSE,true,12,FALSE,Unidentified,
12200740.JPG,NPR3-2017-11-21-end\100EK113,NPR3,20-Dec-2017,08:06:52,Ok,false,Sunny,false,true,20,false,Baboon,
12240849.JPG,NPR3-2017-11-21-end\100EK113,NPR3,24-Dec-2017,14:12:34,Ok,false,Sunny,false,true,31,false,Bird,
12250873.JPG,NPR3-2017-11-21-end\100EK113,NPR3,25-Dec-2017,12:02:21,Ok,false,Sunny,false,true,23,false,Baboon,
12260893.JPG,NPR3-2017-11-21-end\100EK113,NPR3,26-Dec-2017,05:38:55,Dark,FALSE,Shade,FALSE,true,6,FALSE,Steenbok,
12260897.JPG,NPR3-2017-11-21-end\100EK113,NPR3,26-Dec-2017,08:19:57,Ok,false,Sunny,false,true,16,false,Bird,
12300998.JPG,NPR3-2017-11-21-end\100EK113,NPR3,30-Dec-2017,05:56:48,Dark,FALSE,Shade,FALSE,true,13,FALSE,Cattle,
12300001.JPG,NPR3-2017-11-21-end\101EK113,NPR3,30-Dec-2017,06:06:41,Ok,FALSE,Shade,FALSE,true,15,FALSE,Cattle,
12300017.JPG,NPR3-2017-11-21-end\101EK113,NPR3,30-Dec-2017,20:32:12,Dark,FALSE,Dark,FALSE,true,21,FALSE,Unidentified,
12310028.JPG,NPR3-2017-11-21-end\101EK113,NPR3,31-Dec-2017,06:03:57,Ok,FALSE,Shade,FALSE,true,12,FALSE,Bird,
01020093.JPG,NPR3-2017-11-21-end\101EK113,NPR3,02-Jan-2018,11:14:40,Ok,FALSE,Sunny,FALSE,TRUE,26,FALSE,Cattle,
01020108.JPG,NPR3-2017-11-21-end\101EK113,NPR3,02-Jan-2018,22:09:31,Dark,FALSE,Dark,FALSE,TRUE,16,FALSE,Cattle,
01040142.JPG,NPR3-2017-11-21-end\101EK113,NPR3,04-Jan-2018,06:44:56,Ok,FALSE,Shade,FALSE,TRUE,17,FALSE,Cattle,
01040146.JPG,NPR3-2017-11-21-end\101EK113,NPR3,04-Jan-2018,08:50:59,Ok,FALSE,Sunny,FALSE,true,28,FALSE,Baboon,
01040158.JPG,NPR3-2017-11-21-end\101EK113,NPR3,04-Jan-2018,18:40:37,Dark,FALSE,Shade,FALSE,TRUE,37,FALSE,Cattle,
01080247.JPG,NPR3-2017-11-21-end\101EK113,NPR3,08-Jan-2018,05:09:27,Dark,FALSE,Dark,FALSE,TRUE,13,FALSE,Jackal,
01080270.JPG,NPR3-2017-11-21-end\101EK113,NPR3,08-Jan-2018,20:20:55,Dark,FALSE,Dark,FALSE,TRUE,15,FALSE,Steenbok,
01110334.JPG,NPR3-2017-11-21-end\101EK113,NPR3,11-Jan-2018,06:05:53,Ok,FALSE,Shade,FALSE,TRUE,13,FALSE,Baboon,
01130396.JPG,NPR3-2017-11-21-end\101EK113,NPR3,13-Jan-2018,13:02:44,Ok,FALSE,Sunny,FALSE,TRUE,33,FALSE,Bird,
01140416.JPG,NPR3-2017-11-21-end\101EK113,NPR3,14-Jan-2018,06:04:21,Ok,FALSE,Shade,FALSE,TRUE,12,FALSE,Cattle,
01140424.JPG,NPR3-2017-11-21-end\101EK113,NPR3,14-Jan-2018,13:50:31,Ok,FALSE,Sunny,FALSE,TRUE,37,FALSE,Bird,
01150443.JPG,NPR3-2017-11-21-end\101EK113,NPR3,15-Jan-2018,05:11:01,Dark,FALSE,Dark,FALSE,TRUE,15,FALSE,Steenbok,
01160480.JPG,NPR3-2017-11-21-end\101EK113,NPR3,16-Jan-2018,13:00:02,Ok,FALSE,Sunny,FALSE,TRUE,31,FALSE,Baboon,
01160481.JPG,NPR3-2017-11-21-end\101EK113,NPR3,16-Jan-2018,13:01:30,Ok,FALSE,Sunny,FALSE,TRUE,31,FALSE,Bird,
01170501.JPG,NPR3-2017-11-21-end\101EK113,NPR3,17-Jan-2018,07:04:33,Ok,FALSE,Shade,FALSE,TRUE,20,FALSE,Steenbok,
01170503.JPG,NPR3-2017-11-21-end\101EK113,NPR3,17-Jan-2018,08:55:54,Ok,FALSE,Shade,FALSE,TRUE,20,FALSE,Cattle,
01170507.JPG,NPR3-2017-11-21-end\101EK113,NPR3,17-Jan-2018,11:24:18,Ok,FALSE,Sunny,FALSE,TRUE,27,FALSE,Steenbok,
01170509.JPG,NPR3-2017-11-21-end\101EK113,NPR3,17-Jan-2018,12:32:21,Ok,FALSE,Sunny,FALSE,TRUE,30,FALSE,Bird,
01170510.JPG,NPR3-2017-11-21-end\101EK113,NPR3,17-Jan-2018,13:00:02,Ok,FALSE,Sunny,FALSE,TRUE,31,FALSE,Bird,
01170511.JPG,NPR3-2017-11-21-end\101EK113,NPR3,17-Jan-2018,13:00:14,Ok,FALSE,Sunny,FALSE,TRUE,31,FALSE,Bird,
01170519.JPG,NPR3-2017-11-21-end\101EK113,NPR3,17-Jan-2018,19:29:57,Ok,FALSE,Shade,FALSE,TRUE,23,FALSE,Steenbok,
01180531.JPG,NPR3-2017-11-21-end\101EK113,NPR3,18-Jan-2018,06:22:25,Dark,FALSE,Shade,FALSE,TRUE,17,FALSE,Baboon,
01180535.JPG,NPR3-2017-11-21-end\101EK113,NPR3,18-Jan-2018,09:19:03,Ok,FALSE,Sunny,FALSE,TRUE,26,FALSE,Baboon,
01180543.JPG,NPR3-2017-11-21-end\101EK113,NPR3,18-Jan-2018,16:15:51,Ok,FALSE,Sunny,FALSE,TRUE,43,FALSE,Bird,
01200595.JPG,NPR3-2017-11-21-end\101EK113,NPR3,20-Jan-2018,15:14:35,Ok,FALSE,Sunny,FALSE,TRUE,36,FALSE,Bird,
01200600.JPG,NPR3-2017-11-21-end\101EK113,NPR3,20-Jan-2018,19:17:56,Ok,FALSE,Shade,FALSE,TRUE,21,FALSE,Bird,
01210612.JPG,NPR3-2017-11-21-end\101EK113,NPR3,21-Jan-2018,06:12:14,Ok,FALSE,Shade,FALSE,TRUE,17,FALSE,Bird,
