Species,Station,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger
African Wild Cat,NPR2,13-May-17,16:27:13,Ok,FALSE,Shade,FALSE,TRUE,20,FALSE
Baboon,NPR2,22-May-17,10:50:57,Ok,FALSE,Sunny,FALSE,TRUE,15,FALSE
Baboon,NPR2,22-May-17,13:50:18,Ok,FALSE,Sunny,FALSE,TRUE,26,FALSE
Baboon,NPR2,01-Jun-17,14:22:27,Ok,FALSE,Sunny,FALSE,TRUE,21,FALSE
Baboon,NPR2,04-Jun-17,13:39:51,Ok,FALSE,Sunny,FALSE,TRUE,22,FALSE
Baboon,NPR2,16-Jun-17,15:31:55,Ok,FALSE,Shade,FALSE,TRUE,20,FALSE
Baboon,NPR2,25-Jun-17,12:00:44,Ok,FALSE,Sunny,FALSE,TRUE,11,FALSE
Caracal,NPR2,25-Apr-17,7:05:35,Ok,FALSE,Shade,FALSE,TRUE,5,FALSE
Cattle,NPR2,21-Apr-17,4:25:20,Dark,FALSE,Dark,FALSE,TRUE,8,FALSE
Cattle,NPR2,15-May-17,11:09:41,Ok,FALSE,Sunny,FALSE,TRUE,20,FALSE
Cattle,NPR2,23-May-17,12:23:52,Ok,FALSE,Sunny,FALSE,TRUE,27,FALSE
Cattle,NPR2,19-Jun-17,11:16:13,Ok,FALSE,Sunny,FALSE,TRUE,16,FALSE
Mongoose,NPR2,13-Jun-17,10:44:25,Ok,FALSE,Sunny,FALSE,TRUE,13,FALSE
Steenbok,NPR2,25-Apr-17,18:06:52,Ok,FALSE,Sunny,FALSE,TRUE,22,FALSE
Steenbok,NPR2,14-Jun-17,9:58:48,Ok,FALSE,Sunny,FALSE,TRUE,8,FALSE
Steenbok,NPR2,20-Jun-17,11:52:32,Ok,FALSE,Sunny,FALSE,TRUE,12,FALSE
Steenbok,NPR2,23-Jun-17,10:23:05,Ok,FALSE,Sunny,FALSE,TRUE,5,FALSE
