Species,Station,Date,Date1,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger
Baboon,NPR3,08-Jul-17,July,10:39:52,Ok,FALSE,Sunny,FALSE,TRUE,21,FALSE
Baboon,NPR3,10-Sep-17,Sept,9:52:56,Ok,FALSE,Sunny,FALSE,TRUE,20,FALSE
Baboon,NPR3,13-Sep-17,Sept,13:04:53,Ok,FALSE,Sunny,FALSE,TRUE,21,FALSE
Baboon,NPR3,15-Sep-17,Sept,8:22:24,Ok,FALSE,Sunny,FALSE,TRUE,10,FALSE
Baboon,NPR3,17-Sep-17,Sept,13:05:44,Ok,FALSE,Sunny,FALSE,TRUE,26,FALSE
Baboon,NPR3,03-Nov-17,Nov,12:00:02,Ok,FALSE,Sunny,FALSE,TRUE,31,FALSE
Caracal,NPR3,17-Jul-17,July,2:01:56,Dark,FALSE,Dark,FALSE,TRUE,0,FALSE
Cattle,NPR3,24-Jul-17,July,10:55:55,Ok,FALSE,Sunny,FALSE,TRUE,17,FALSE
Cattle,NPR3,30-Jul-17,July,10:03:37,Ok,FALSE,Sunny,FALSE,TRUE,15,FALSE
Dog,NPR3,15-Oct-17,Oct,18:57:34,Ok,FALSE,Dark,FALSE,TRUE,15,FALSE
Eland,NPR3,04-Oct-17,Oct,1:48:29,Dark,FALSE,Dark,FALSE,TRUE,13,FALSE
Eland,NPR3,19-Oct-17,Oct,2:16:00,Dark,FALSE,Dark,FALSE,TRUE,12,FALSE
Steenbok,NPR3,29-Jun-17,June,10:05:32,Ok,FALSE,Sunny,FALSE,TRUE,12,FALSE
Steenbok,NPR3,19-Aug-17,August,9:03:06,Ok,FALSE,Sunny,FALSE,TRUE,7,FALSE
Steenbok,NPR3,23-Aug-17,August,9:19:16,Ok,FALSE,Sunny,FALSE,TRUE,10,FALSE
Steenbok,NPR3,16-Sep-17,Sept,8:37:38,Ok,FALSE,Sunny,FALSE,TRUE,11,FALSE
Steenbok,NPR3,07-Oct-17,Oct,7:39:21,Ok,FALSE,Sunny,FALSE,TRUE,10,FALSE
Steenbok,NPR3,08-Oct-17,Oct,22:15:12,Dark,FALSE,Dark,FALSE,TRUE,10,FALSE
Steenbok,NPR3,16-Oct-17,Oct,5:30:30,Ok,FALSE,Dark,FALSE,TRUE,7,FALSE
Steenbok,NPR3,05-Nov-17,Nov,6:50:11,Ok,FALSE,Shade,FALSE,TRUE,12,FALSE
