File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger,Comment,Method,
11280179.JPG,NPR3-2017-11-21-end\100EK113,NPR3,28-Nov-2017,13:16:14,Ok,false,Sunny,false,true,30,false,Bird,true,
11300236.JPG,NPR3-2017-11-21-end\100EK113,NPR3,30-Nov-2017,18:09:49,Ok,false,Shade,false,true,33,false,Kudu,true,
12060384.JPG,NPR3-2017-11-21-end\100EK113,NPR3,06-Dec-2017,15:20:32,Ok,false,Sunny,false,true,41,false,Bird / Diedrick's cuckoo,true,
12060391.JPG,NPR3-2017-11-21-end\100EK113,NPR3,06-Dec-2017,21:42:42,Dark,FALSE,Dark,FALSE,true,21,FALSE,Steenbok,true,
12060394.JPG,NPR3-2017-11-21-end\100EK113,NPR3,06-Dec-2017,23:59:17,Dark,FALSE,Dark,FALSE,true,17,FALSE,Steenbok,true,
12080429.JPG,NPR3-2017-11-21-end\100EK113,NPR3,08-Dec-2017,09:30:26,Ok,false,Sunny,false,true,35,false,Bird / Cape Whitetail,true,
12090454.JPG,NPR3-2017-11-21-end\100EK113,NPR3,09-Dec-2017,06:09:12,Ok,false,Sunny,false,true,17,false,Kudu,true,
12140600.JPG,NPR3-2017-11-21-end\100EK113,NPR3,14-Dec-2017,19:20:21,Dark,FALSE,Shade,FALSE,true,21,FALSE,Steenbok,true,
12170660.JPG,NPR3-2017-11-21-end\100EK113,NPR3,17-Dec-2017,04:47:41,Dark,FALSE,Dark,FALSE,true,13,FALSE,Steenbok,true,
12190726.JPG,NPR3-2017-11-21-end\100EK113,NPR3,19-Dec-2017,20:44:14,Dark,FALSE,Dark,FALSE,true,17,FALSE,Steenbok,true,
12200732.JPG,NPR3-2017-11-21-end\100EK113,NPR3,20-Dec-2017,01:22:01,Dark,FALSE,Dark,FALSE,true,12,FALSE,Unidentified,true,
12200740.JPG,NPR3-2017-11-21-end\100EK113,NPR3,20-Dec-2017,08:06:52,Ok,false,Sunny,false,true,20,false,Baboon,true,
12240849.JPG,NPR3-2017-11-21-end\100EK113,NPR3,24-Dec-2017,14:12:34,Ok,false,Sunny,false,true,31,false,Bird,true,
12250873.JPG,NPR3-2017-11-21-end\100EK113,NPR3,25-Dec-2017,12:02:21,Ok,false,Sunny,false,true,23,false,Baboon,true,
12260893.JPG,NPR3-2017-11-21-end\100EK113,NPR3,26-Dec-2017,05:38:55,Dark,FALSE,Shade,FALSE,true,6,FALSE,Steenbok,true,
12260897.JPG,NPR3-2017-11-21-end\100EK113,NPR3,26-Dec-2017,08:19:57,Ok,false,Sunny,false,true,16,false,Bird,true,
12300998.JPG,NPR3-2017-11-21-end\100EK113,NPR3,30-Dec-2017,05:56:48,Dark,FALSE,Shade,FALSE,true,13,FALSE,Cattle,true,
12300001.JPG,NPR3-2017-11-21-end\101EK113,NPR3,30-Dec-2017,06:06:41,Ok,FALSE,Shade,FALSE,true,15,FALSE,Cattle,true,
12300017.JPG,NPR3-2017-11-21-end\101EK113,NPR3,30-Dec-2017,20:32:12,Dark,FALSE,Dark,FALSE,true,21,FALSE,Unidentified,true,
12310028.JPG,NPR3-2017-11-21-end\101EK113,NPR3,31-Dec-2017,06:03:57,Ok,FALSE,Shade,FALSE,true,12,FALSE,Bird,true,
01020093.JPG,NPR3-2017-11-21-end\101EK113,NPR3,02-Jan-2018,11:14:40,Ok,FALSE,Sunny,FALSE,TRUE,26,FALSE,Cattle,true,
