Species,Station,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger
Unidentified,NPR1,30-Apr-17,5:13:54,Dark,FALSE,Dark,TRUE,TRUE,13,FALSE
Unidentified,NPR1,03-May-17,8:00:02,Ok,FALSE,Shade,TRUE,TRUE,15,FALSE
Unidentified,NPR1,18-May-17,5:53:15,Dark,FALSE,Dark,TRUE,TRUE,10,FALSE
Unidentified,NPR1,28-Jul-17,22:16:16,Dark,FALSE,Dark,TRUE,TRUE,13,FALSE
Unidentified,NPR1,13-Sep-17,4:15:50,Dark,FALSE,Dark,TRUE,TRUE,13,FALSE
Unidentified,NPR1,25-Sep-17,0:49:08,Dark,FALSE,Dark,TRUE,TRUE,10,FALSE
Unidentified,NPR1,26-Sep-17,0:34:47,Dark,FALSE,Dark,TRUE,TRUE,7,FALSE
Unidentified,NPR1,28-Sep-17,5:18:39,Dark,FALSE,Dark,TRUE,TRUE,5,FALSE
Unidentified,NPR1,01-Oct-17,2:26:10,Dark,FALSE,Dark,TRUE,TRUE,8,FALSE
Unidentified,NPR1,02-Oct-17,3:48:29,Dark,FALSE,Dark,TRUE,TRUE,10,FALSE
Unidentified,NPR1,11-Oct-17,4:45:39,Dark,FALSE,Dark,TRUE,TRUE,6,FALSE
Unidentified,NPR1,24-Oct-17,19:31:44,Dark,FALSE,Dark,TRUE,TRUE,21,FALSE
Unidentified,NPR1,14-Nov-17,4:54:46,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE
Unidentified,NPR1,05-Nov-17,0:23:40,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE
Unidentified,NPR1,07-Nov-17,1:31:38,Dark,FALSE,Dark,TRUE,TRUE,10,FALSE
Unidentified,NPR1,12-Nov-17,4:41:23,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE
Unidentified,NPR1,21-Nov-17,4:16:08,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE
Unidentified,NPR1,27-Nov-17,19:23:23,Ok,FALSE,Shade,TRUE,TRUE,25,FALSE
Unidentified,NPR1,15-Jan-18,22:17:09,Dark,FALSE,Dark,TRUE,TRUE,16,FALSE
Unidentified,NPR1,16-Jan-18,3:07:29,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE
Unidentified,NPR1,22-Jan-18,0:39:06,Dark,FALSE,Dark,TRUE,TRUE,21,FALSE
Unidentified,NPR1,21-Mar-18,22:20:12,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE
Unidentified,NPR1,04-Apr-18,23:28:11,Dark,FALSE,Dark,TRUE,TRUE,17,FALSE
Unidentified,NPR1,25-Apr-18,0:28:49,Dark,FALSE,Dark,TRUE,TRUE,12,FALSE
Unidentified,NPR1,21-May-18,19:52:16,Dark,FALSE,Dark,TRUE,TRUE,16,FALSE
Unidentified,NPR1,27-May-18,0:42:47,Dark,FALSE,Dark,TRUE,TRUE,8,FALSE
Unidentified,NPR1,28-May-18,17:47:44,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE
Unidentified,NPR2,20-Apr-17,23:49:52,Dark,FALSE,Dark,FALSE,TRUE,10,FALSE
Unidentified,NPR2,26-Apr-17,0:26:33,Dark,FALSE,Dark,FALSE,TRUE,10,FALSE
Unidentified,NPR2,28-Apr-17,11:52:59,Ok,FALSE,Sunny,FALSE,TRUE,27,FALSE
Unidentified,NPR2,14-May-17,1:09:13,Dark,FALSE,Dark,FALSE,TRUE,2,FALSE
Unidentified,NPR2,26-May-17,1:21:43,Dark,FALSE,Dark,FALSE,TRUE,10,FALSE
Unidentified,NPR2,29-May-17,3:22:51,Dark,FALSE,Dark,FALSE,TRUE,3,FALSE
Unidentified,NPR2,09-Jun-17,0:25:16,Dark,FALSE,Dark,FALSE,TRUE,0,FALSE
Unidentified,NPR2,16-Jun-17,23:35:38,Dark,FALSE,Dark,FALSE,TRUE,5,FALSE
Unidentified,NPR2,17-Jun-17,2:01:17,Dark,FALSE,Dark,FALSE,TRUE,10,FALSE
Unidentified,NPR2,23-Jun-17,3:44:26,Dark,FALSE,Dark,FALSE,TRUE,0,FALSE
Unidentified,NPR2,10-Jul-17,21:51:19,Dark,FALSE,Dark,FALSE,TRUE,0,FALSE
Unidentified,NPR2,20-Sep-17,18:40:05,Ok,FALSE,Shade,FALSE,TRUE,20,FALSE
Unidentified,NPR2,25-Sep-17,21:30:22,Dark,FALSE,Dark,FALSE,TRUE,8,FALSE
Unidentified,NPR2,02-Oct-17,19:00:01,Dark,FALSE,Dark,FALSE,TRUE,27,FALSE
Unidentified,NPR2,02-Oct-17,19:00:40,Dark,FALSE,Dark,FALSE,TRUE,27,FALSE
Unidentified,NPR2,09-Oct-17,20:10:55,Dark,FALSE,Dark,FALSE,TRUE,7,FALSE
Unidentified,NPR2,21-Oct-17,19:00:01,Ok,FALSE,Dark,FALSE,TRUE,20,FALSE
Unidentified,NPR2,01-Dec-17,23:23:16,Dark,FALSE,Dark,FALSE,TRUE,15,FALSE
Unidentified,NPR2,04-Dec-17,12:44:13,Ok,FALSE,Sunny,FALSE,TRUE,35,FALSE
Unidentified,NPR2,20-Dec-17,3:44:49,Dark,FALSE,Dark,FALSE,TRUE,8,FALSE
Unidentified,NPR2,26-Dec-17,4:52:34,Dark,FALSE,Dark,FALSE,TRUE,6,FALSE
Unidentified,NPR2,01-Jan-18,2:29:16,Dark,FALSE,Dark,FALSE,TRUE,16,FALSE
Unidentified,NPR2,22-Jan-18,0:55:30,Dark,FALSE,Dark,FALSE,TRUE,20,FALSE
Unidentified,NPR2,01-Feb-18,21:05:22,Dark,FALSE,Dark,FALSE,TRUE,21,FALSE
Unidentified,NPR2,10-Feb-18,11:02:26,Ok,FALSE,Sunny,FALSE,TRUE,26,FALSE
Unidentified,NPR2,12-Feb-18,20:04:01,Dark,FALSE,Dark,FALSE,TRUE,20,FALSE
Unidentified,NPR2,05-Mar-18,12:41:42,Ok,FALSE,Sunny,FALSE,TRUE,31,FALSE
Unidentified,NPR2,12-Mar-18,1:02:47,Dark,FALSE,Dark,FALSE,TRUE,13,FALSE
Unidentified,NPR2,25-Mar-18,1:31:50,Dark,FALSE,Dark,FALSE,TRUE,15,FALSE
Unidentified,NPR2,24-Apr-18,3:32:09,Dark,FALSE,Dark,FALSE,TRUE,15,FALSE
Unidentified,NPR2,10-May-18,4:23:59,Dark,FALSE,Dark,FALSE,TRUE,3,FALSE
Unidentified,NPR2,29-May-18,19:52:38,Dark,FALSE,Dark,FALSE,TRUE,5,FALSE
Unidentified,NPR2,07-Jun-18,6:46:53,Dark,FALSE,Dark,FALSE,TRUE,15,FALSE
Unidentified,NPR3,11-Jun-17,23:56:59,Dark,FALSE,Dark,FALSE,TRUE,11,FALSE
Unidentified,NPR3,16-Jun-17,18:04:52,Dark,FALSE,Dark,FALSE,TRUE,15,FALSE
Unidentified,NPR3,21-Jun-17,21:04:31,Dark,FALSE,Dark,FALSE,TRUE,12,FALSE
Unidentified,NPR3,28-Jun-17,20:31:24,Dark,FALSE,Dark,FALSE,TRUE,5,FALSE
Unidentified,NPR3,07-Jul-17,22:01:52,Dark,FALSE,Dark,FALSE,TRUE,17,FALSE
Unidentified,NPR3,08-Jul-17,22:32:44,Dark,FALSE,Dark,FALSE,TRUE,17,FALSE
Unidentified,NPR3,18-Jul-17,21:02:07,Dark,FALSE,Dark,FALSE,TRUE,6,FALSE
Unidentified,NPR3,20-Jul-17,20:51:27,Dark,FALSE,Dark,FALSE,TRUE,10,FALSE
Unidentified,NPR3,10-Aug-17,4:44:06,Dark,FALSE,Dark,FALSE,TRUE,10,FALSE
Unidentified,NPR3,14-Aug-17,19:31:06,Dark,FALSE,Dark,FALSE,TRUE,12,FALSE
Unidentified,NPR3,04-Sep-17,18:46:32,Dark,FALSE,Dark,FALSE,TRUE,28,FALSE
Unidentified,NPR3,13-Oct-17,22:29:38,Dark,FALSE,Dark,FALSE,TRUE,12,FALSE
Unidentified,NPR3,27-Oct-17,22:12:15,Dark,FALSE,Dark,FALSE,TRUE,8,FALSE
Unidentified,NPR3,02-Nov-17,21:05:46,Dark,FALSE,Dark,FALSE,TRUE,21,FALSE
Unidentified,NPR3,20-Dec-17,1:22:01,Dark,FALSE,Dark,FALSE,TRUE,12,FALSE
Unidentified,NPR3,30-Dec-17,20:32:12,Dark,FALSE,Dark,FALSE,TRUE,21,FALSE
Unidentified,NPR3,03-Feb-18,0:41:11,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE
Unidentified,NPR3,11-Feb-18,3:55:45,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE
Unidentified,NPR3,14-Feb-18,1:21:39,Dark,FALSE,Dark,TRUE,TRUE,20,FALSE
Unidentified,NPR3,21-Feb-18,19:49:40,Dark,FALSE,Dark,TRUE,TRUE,21,FALSE
Unidentified,NPR3,21-Feb-18,23:00:49,Dark,FALSE,Dark,TRUE,TRUE,17,FALSE
Unidentified,NPR3,03-Mar-18,19:00:25,Dark,FALSE,Dark,FALSE,TRUE,22,FALSE
Unidentified,NPR3,13-Apr-18,4:39:51,Dark,FALSE,Dark,FALSE,TRUE,15,FALSE
Unidentified,NPR3,14-May-18,1:09:27,Dark,FALSE,Dark,FALSE,TRUE,7,FALSE
Unidentified,NPR3,31-May-18,22:13:24,Dark,FALSE,Dark,FALSE,TRUE,12,FALSE
