File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger,Comment,
06280001.JPG,NPR1-2-Nov2017,NPR1,28-Jun-2017,13:22:56,Ok,FALSE,Shade,TRUE,FALSE,11,TRUE,,
06280002.JPG,NPR1-2-Nov2017,NPR1,28-Jun-2017,19:25:13,Dark,FALSE,Dark,TRUE,TRUE,5,FALSE,Jackal,
07100003.JPG,NPR1-2-Nov2017,NPR1,10-Jul-2017,20:26:00,Dark,FALSE,Dark,TRUE,TRUE,5,FALSE,Porcupine,
07150004.JPG,NPR1-2-Nov2017,NPR1,15-Jul-2017,19:55:02,Dark,FALSE,Dark,TRUE,TRUE,10,FALSE,Jackal,
07160005.JPG,NPR1-2-Nov2017,NPR1,16-Jul-2017,07:50:03,Ok,FALSE,Shade,TRUE,TRUE,3,FALSE,Jackal,
07170006.JPG,NPR1-2-Nov2017,NPR1,17-Jul-2017,08:12:32,Ok,FALSE,Shade,TRUE,TRUE,3,FALSE,Jackal,
07200007.JPG,NPR1-2-Nov2017,NPR1,20-Jul-2017,06:31:27,Dark,FALSE,Dark,TRUE,TRUE,5,FALSE,Eland,
07200008.JPG,NPR1-2-Nov2017,NPR1,20-Jul-2017,10:43:59,Ok,FALSE,Shade,TRUE,FALSE,21,TRUE,,
07230009.JPG,NPR1-2-Nov2017,NPR1,23-Jul-2017,07:59:16,Ok,FALSE,Shade,TRUE,TRUE,0,FALSE,Klipspringer,
07270010.JPG,NPR1-2-Nov2017,NPR1,27-Jul-2017,04:28:59,Dark,FALSE,Shade,TRUE,TRUE,1,FALSE,Jackal,
07280011.JPG,NPR1-2-Nov2017,NPR1,28-Jul-2017,22:16:16,Dark,FALSE,Dark,TRUE,TRUE,13,FALSE,Unidentified,
07310012.JPG,NPR1-2-Nov2017,NPR1,31-Jul-2017,16:22:32,Dark,FALSE,Shade,TRUE,TRUE,27,FALSE,Baboon,
08040013.JPG,NPR1-2-Nov2017,NPR1,04-Aug-2017,07:48:18,Ok,FALSE,Shade,TRUE,TRUE,6,FALSE,Jackal,
08160014.JPG,NPR1-2-Nov2017,NPR1,16-Aug-2017,08:32:46,Ok,FALSE,Shade,TRUE,TRUE,7,FALSE,Jackal,
08180015.JPG,NPR1-2-Nov2017,NPR1,18-Aug-2017,10:27:48,Ok,FALSE,Sunny,TRUE,TRUE,15,FALSE,Baboon,
08200016.JPG,NPR1-2-Nov2017,NPR1,20-Aug-2017,16:41:20,Dark,FALSE,Shade,TRUE,TRUE,26,FALSE,Caracal,
08230017.JPG,NPR1-2-Nov2017,NPR1,23-Aug-2017,18:33:53,Dark,FALSE,Dark,TRUE,TRUE,13,FALSE,Eland,
08270018.JPG,NPR1-2-Nov2017,NPR1,27-Aug-2017,17:22:32,Ok,FALSE,Shade,TRUE,TRUE,17,FALSE,Jackal,
08310019.JPG,NPR1-2-Nov2017,NPR1,31-Aug-2017,07:52:13,Ok,FALSE,Shade,TRUE,TRUE,17,FALSE,Jackal,
09010020.JPG,NPR1-2-Nov2017,NPR1,01-Sep-2017,23:13:17,Dark,FALSE,Dark,TRUE,TRUE,7,FALSE,Jackal,
09030021.JPG,NPR1-2-Nov2017,NPR1,03-Sep-2017,09:19:54,Ok,FALSE,Sunny,TRUE,TRUE,15,FALSE,Jackal,
09040022.JPG,NPR1-2-Nov2017,NPR1,04-Sep-2017,16:43:11,Dark,FALSE,Shade,TRUE,FALSE,31,FALSE,Klipspringer,
09050023.JPG,NPR1-2-Nov2017,NPR1,05-Sep-2017,01:31:59,Dark,FALSE,Dark,TRUE,FALSE,21,TRUE,,
09060024.JPG,NPR1-2-Nov2017,NPR1,06-Sep-2017,10:50:37,Ok,FALSE,Sunny,TRUE,FALSE,22,TRUE,,
09070025.JPG,NPR1-2-Nov2017,NPR1,07-Sep-2017,07:27:30,Ok,FALSE,Shade,TRUE,TRUE,10,FALSE,Jackal,
09070026.JPG,NPR1-2-Nov2017,NPR1,07-Sep-2017,09:33:52,Ok,FALSE,Sunny,TRUE,FALSE,20,TRUE,,
09100027.JPG,NPR1-2-Nov2017,NPR1,10-Sep-2017,23:52:48,Dark,FALSE,Dark,TRUE,TRUE,12,FALSE,Porcupine,
09130028.JPG,NPR1-2-Nov2017,NPR1,13-Sep-2017,04:15:50,Dark,FALSE,Dark,TRUE,TRUE,13,FALSE,Unidentified,
09190029.JPG,NPR1-2-Nov2017,NPR1,19-Sep-2017,18:13:49,Ok,FALSE,Shade,TRUE,TRUE,16,FALSE,Baboon,
09250030.JPG,NPR1-2-Nov2017,NPR1,25-Sep-2017,00:49:08,Dark,FALSE,Dark,TRUE,TRUE,10,FALSE,Unidentified,
09260031.JPG,NPR1-2-Nov2017,NPR1,26-Sep-2017,00:34:47,Dark,FALSE,Dark,TRUE,TRUE,7,FALSE,Unidentified,
09280032.JPG,NPR1-2-Nov2017,NPR1,28-Sep-2017,05:18:39,Dark,FALSE,Dark,TRUE,TRUE,5,FALSE,Unidentified,
10010033.JPG,NPR1-2-Nov2017,NPR1,01-Oct-2017,02:26:10,Dark,FALSE,Dark,TRUE,TRUE,8,FALSE,Unidentified,
10020034.JPG,NPR1-2-Nov2017,NPR1,02-Oct-2017,03:48:29,Dark,FALSE,Dark,TRUE,TRUE,10,FALSE,Unidentified,
10030035.JPG,NPR1-2-Nov2017,NPR1,03-Oct-2017,11:23:03,Ok,FALSE,Sunny,TRUE,TRUE,26,FALSE,Klipspringer,
10040036.JPG,NPR1-2-Nov2017,NPR1,04-Oct-2017,05:59:21,Dark,FALSE,Dark,TRUE,TRUE,12,FALSE,Klipspringer,
10080037.JPG,NPR1-2-Nov2017,NPR1,08-Oct-2017,12:04:39,Ok,FALSE,Sunny,TRUE,FALSE,21,TRUE,,
10080038.JPG,NPR1-2-Nov2017,NPR1,08-Oct-2017,18:07:48,Ok,FALSE,Shade,TRUE,TRUE,13,FALSE,Baboon,
10110039.JPG,NPR1-2-Nov2017,NPR1,11-Oct-2017,04:45:39,Dark,FALSE,Dark,TRUE,TRUE,6,FALSE,Unidentified,
10110040.JPG,NPR1-2-Nov2017,NPR1,11-Oct-2017,11:00:38,Ok,FALSE,Sunny,TRUE,FALSE,26,TRUE,,
10130041.JPG,NPR1-2-Nov2017,NPR1,13-Oct-2017,10:05:55,Ok,FALSE,Sunny,TRUE,FALSE,26,TRUE,,
10150042.JPG,NPR1-2-Nov2017,NPR1,15-Oct-2017,06:16:05,Ok,FALSE,Shade,TRUE,TRUE,11,FALSE,Jackal,
10220043.JPG,NPR1-2-Nov2017,NPR1,22-Oct-2017,13:25:30,Ok,FALSE,Sunny,TRUE,FALSE,30,TRUE,,
10230044.JPG,NPR1-2-Nov2017,NPR1,23-Oct-2017,11:45:27,Ok,FALSE,Sunny,TRUE,FALSE,32,TRUE,,
10230045.JPG,NPR1-2-Nov2017,NPR1,23-Oct-2017,12:50:49,Ok,FALSE,Sunny,TRUE,FALSE,32,TRUE,,
10230046.JPG,NPR1-2-Nov2017,NPR1,23-Oct-2017,13:56:15,Ok,FALSE,Sunny,TRUE,FALSE,36,TRUE,,
10240047.JPG,NPR1-2-Nov2017,NPR1,24-Oct-2017,11:52:37,Ok,FALSE,Sunny,TRUE,FALSE,31,TRUE,,
10240048.JPG,NPR1-2-Nov2017,NPR1,24-Oct-2017,13:05:50,Ok,FALSE,Sunny,TRUE,FALSE,32,TRUE,,
10240049.JPG,NPR1-2-Nov2017,NPR1,24-Oct-2017,19:31:44,Dark,FALSE,Dark,TRUE,TRUE,21,FALSE,Unidentified,
10250050.JPG,NPR1-2-Nov2017,NPR1,25-Oct-2017,12:21:06,Ok,FALSE,Sunny,TRUE,FALSE,31,TRUE,,
