File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger,Comment,
11210001.JPG,NPR2-2017-11-21-end\100EK113,NPR2,21-Nov-2017,14:00:01,Ok,false,Sunny,false,false,25,false,,
11210002.JPG,NPR2-2017-11-21-end\100EK113,NPR2,21-Nov-2017,15:00:01,Ok,false,Sunny,false,false,26,false,,
11210003.JPG,NPR2-2017-11-21-end\100EK113,NPR2,21-Nov-2017,16:00:01,Ok,false,Sunny,false,false,22,false,,
11210004.JPG,NPR2-2017-11-21-end\100EK113,NPR2,21-Nov-2017,17:00:01,Ok,false,Shade,false,false,21,false,,
11210005.JPG,NPR2-2017-11-21-end\100EK113,NPR2,21-Nov-2017,18:00:01,Dark,FALSE,Shade,FALSE,FALSE,21,FALSE,,
11210006.JPG,NPR2-2017-11-21-end\100EK113,NPR2,21-Nov-2017,19:00:02,Dark,FALSE,Shade,FALSE,FALSE,15,FALSE,,
11210007.JPG,NPR2-2017-11-21-end\100EK113,NPR2,21-Nov-2017,20:00:02,Dark,FALSE,Dark,FALSE,FALSE,12,FALSE,,
11210008.JPG,NPR2-2017-11-21-end\100EK113,NPR2,21-Nov-2017,21:00:01,Dark,FALSE,Dark,FALSE,FALSE,10,FALSE,,
11210009.JPG,NPR2-2017-11-21-end\100EK113,NPR2,21-Nov-2017,22:00:01,Dark,FALSE,Dark,FALSE,FALSE,10,FALSE,,
11210010.JPG,NPR2-2017-11-21-end\100EK113,NPR2,21-Nov-2017,23:00:01,Dark,FALSE,Dark,FALSE,FALSE,10,FALSE,,
11220011.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,00:00:01,Dark,FALSE,Dark,FALSE,FALSE,10,FALSE,,
11220012.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,01:00:01,Dark,FALSE,Dark,FALSE,FALSE,10,FALSE,,
11220013.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,02:00:01,Dark,FALSE,Dark,FALSE,FALSE,10,FALSE,,
11220014.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,03:00:01,Dark,FALSE,Dark,FALSE,FALSE,8,FALSE,,
11220015.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,04:00:01,Dark,FALSE,Dark,FALSE,FALSE,7,FALSE,,
11220016.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,05:00:02,Dark,FALSE,Shade,FALSE,FALSE,7,FALSE,,
11220017.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,06:00:01,Ok,false,Shade,false,false,7,false,,
11220018.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,07:00:01,Ok,false,Shade,false,false,10,false,,
11220019.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,08:00:01,Dark,FALSE,Shade,FALSE,FALSE,13,FALSE,,
11220020.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,09:00:01,Ok,false,Sunny,false,false,17,false,,
11220021.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,10:00:02,Ok,false,Sunny,false,false,21,false,,
11220022.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,11:00:02,Ok,false,Sunny,false,false,27,false,,
11220023.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,11:29:43,Ok,false,Sunny,false,false,26,false,,
11220024.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,12:00:01,Ok,false,Sunny,false,false,27,false,,
11220025.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,13:00:01,Ok,false,Sunny,false,false,33,false,,
11220026.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,14:00:01,Ok,false,Sunny,false,false,32,false,,
11220027.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,15:00:01,Ok,false,Sunny,false,false,30,false,,
11220028.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,16:00:01,Ok,false,Sunny,false,false,27,false,,
11220029.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,17:00:01,Ok,false,Sunny,false,false,30,false,,
11220030.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,18:00:01,Dark,FALSE,Shade,FALSE,FALSE,21,FALSE,,
11220031.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,19:00:01,Dark,FALSE,Shade,FALSE,FALSE,15,FALSE,,
11220032.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,20:00:02,Dark,FALSE,Dark,FALSE,FALSE,12,FALSE,,
11220033.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,21:00:01,Dark,FALSE,Dark,FALSE,FALSE,11,FALSE,,
11220034.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,22:00:01,Dark,FALSE,Dark,FALSE,FALSE,10,FALSE,,
11220035.JPG,NPR2-2017-11-21-end\100EK113,NPR2,22-Nov-2017,23:00:01,Dark,FALSE,Dark,FALSE,FALSE,10,FALSE,,
11230036.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,00:00:01,Dark,FALSE,Dark,FALSE,FALSE,10,FALSE,,
11230037.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,01:00:02,Dark,FALSE,Dark,FALSE,FALSE,8,FALSE,,
11230038.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,02:00:02,Dark,FALSE,Dark,FALSE,FALSE,8,FALSE,,
11230039.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,03:00:01,Dark,FALSE,Dark,FALSE,FALSE,7,FALSE,,
11230040.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,04:00:01,Dark,FALSE,Dark,FALSE,FALSE,7,FALSE,,
11230041.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,05:00:02,Dark,FALSE,Shade,FALSE,FALSE,6,FALSE,,
11230042.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,06:00:01,Dark,FALSE,Shade,FALSE,FALSE,6,FALSE,,
11230043.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,07:00:01,Ok,false,Sunny,false,false,10,false,,
11230044.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,08:00:01,Ok,false,Sunny,false,false,13,false,,
11230045.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,09:00:01,Ok,false,Sunny,false,false,17,false,,
11230046.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,10:00:01,Ok,false,Sunny,false,false,21,false,,
11230047.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,10:21:45,Ok,false,Sunny,false,false,21,false,,
11230048.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,11:00:01,Ok,false,Sunny,false,false,23,false,,
11230049.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,12:00:01,Ok,false,Sunny,false,false,30,false,,
11230050.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,12:11:25,Ok,false,Sunny,false,false,31,false,,
11230051.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,13:00:01,Ok,false,Sunny,false,false,35,false,,
11230052.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,14:00:01,Ok,false,Sunny,false,false,35,false,,
11230053.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,15:00:01,Ok,false,Sunny,false,false,35,false,,
11230054.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,16:00:02,Ok,false,Sunny,false,false,37,false,,
11230055.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,17:00:02,Ok,false,Sunny,false,false,35,false,,
11230056.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,18:00:01,Dark,FALSE,Shade,FALSE,FALSE,23,FALSE,,
11230057.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,19:00:01,Dark,FALSE,Shade,FALSE,FALSE,16,FALSE,,
11230058.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,20:00:03,Dark,FALSE,Dark,FALSE,FALSE,13,FALSE,,
11230059.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,21:00:01,Dark,FALSE,Dark,FALSE,FALSE,12,FALSE,,
11230060.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,22:00:01,Dark,FALSE,Dark,FALSE,FALSE,12,FALSE,,
11230061.JPG,NPR2-2017-11-21-end\100EK113,NPR2,23-Nov-2017,23:00:01,Dark,FALSE,Dark,FALSE,FALSE,12,FALSE,,
11240062.JPG,NPR2-2017-11-21-end\100EK113,NPR2,24-Nov-2017,00:00:01,Dark,FALSE,Dark,FALSE,FALSE,12,FALSE,,
11240063.JPG,NPR2-2017-11-21-end\100EK113,NPR2,24-Nov-2017,01:00:01,Dark,FALSE,Dark,FALSE,FALSE,12,FALSE,,
11240064.JPG,NPR2-2017-11-21-end\100EK113,NPR2,24-Nov-2017,02:00:01,Dark,FALSE,Dark,FALSE,FALSE,11,FALSE,,
11240065.JPG,NPR2-2017-11-21-end\100EK113,NPR2,24-Nov-2017,03:00:01,Dark,FALSE,Dark,FALSE,FALSE,10,FALSE,,
11240066.JPG,NPR2-2017-11-21-end\100EK113,NPR2,24-Nov-2017,04:00:01,Dark,FALSE,Dark,FALSE,FALSE,11,FALSE,,
11240067.JPG,NPR2-2017-11-21-end\100EK113,NPR2,24-Nov-2017,05:00:01,Dark,FALSE,Dark,FALSE,FALSE,11,FALSE,,
11240068.JPG,NPR2-2017-11-21-end\100EK113,NPR2,24-Nov-2017,06:00:02,Ok,false,Shade,false,false,12,false,,
11240069.JPG,NPR2-2017-11-21-end\100EK113,NPR2,24-Nov-2017,07:00:02,Ok,false,Sunny,false,false,15,false,,
