File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger,Comment,Method,
06280001.JPG,NPR3-2-Nov2017\100EK113,NPR3,28-Jun-2017,12:49:43,Ok,false,Sunny,false,false,10,false,,false,
06280002.JPG,NPR3-2-Nov2017\100EK113,NPR3,28-Jun-2017,13:00:01,Ok,false,Sunny,false,false,12,false,,false,
06280003.JPG,NPR3-2-Nov2017\100EK113,NPR3,28-Jun-2017,14:00:01,Ok,false,Sunny,false,false,11,false,,false,
06280004.JPG,NPR3-2-Nov2017\100EK113,NPR3,28-Jun-2017,15:00:01,Ok,false,Sunny,false,false,13,false,,false,
06280005.JPG,NPR3-2-Nov2017\100EK113,NPR3,28-Jun-2017,16:00:01,Ok,false,Shade,false,false,17,false,,false,
06280006.JPG,NPR3-2-Nov2017\100EK113,NPR3,28-Jun-2017,17:00:01,Dark,FALSE,Shade,FALSE,FALSE,20,FALSE,,false,
06280007.JPG,NPR3-2-Nov2017\100EK113,NPR3,28-Jun-2017,18:00:02,Ok,false,Dark,false,false,8,false,,false,
06280008.JPG,NPR3-2-Nov2017\100EK113,NPR3,28-Jun-2017,19:00:01,Dark,FALSE,Dark,FALSE,FALSE,5,FALSE,,false,
06280009.JPG,NPR3-2-Nov2017\100EK113,NPR3,28-Jun-2017,20:00:01,Dark,FALSE,Dark,FALSE,FALSE,5,FALSE,,false,
06280010.JPG,NPR3-2-Nov2017\100EK113,NPR3,28-Jun-2017,20:31:24,Dark,FALSE,Dark,FALSE,TRUE,5,false,Unidentified,true,
06280011.JPG,NPR3-2-Nov2017\100EK113,NPR3,28-Jun-2017,21:00:01,Dark,FALSE,Dark,FALSE,FALSE,5,FALSE,,false,
06280012.JPG,NPR3-2-Nov2017\100EK113,NPR3,28-Jun-2017,22:00:01,Dark,FALSE,Dark,FALSE,FALSE,3,FALSE,,false,
06280013.JPG,NPR3-2-Nov2017\100EK113,NPR3,28-Jun-2017,23:00:01,Ok,false,Dark,false,false,2,false,,false,
06290014.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,00:00:01,Ok,false,Dark,false,false,1,false,,false,
06290015.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,01:00:01,Ok,false,Dark,false,false,1,false,,false,
06290016.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,02:00:01,Ok,false,Dark,false,false,1,false,,false,
06290017.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,03:00:01,Ok,false,Dark,false,false,0,false,,false,
06290018.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,04:00:01,Ok,false,Dark,false,false,0,false,,false,
06290019.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,05:00:01,Ok,false,Dark,false,false,0,false,,false,
06290020.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,06:00:02,Dark,FALSE,Dark,FALSE,FALSE,1,FALSE,,false,
06290021.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,07:00:02,Dark,FALSE,Dark,FALSE,FALSE,1,FALSE,,false,
06290022.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,08:00:02,Ok,false,Shade,false,false,1,false,,false,
06290023.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,09:00:01,Ok,false,Shade,false,false,2,false,,false,
06290024.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,10:00:01,Ok,false,Sunny,false,false,12,false,,false,
06290025.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,10:05:32,Ok,false,Sunny,false,true,12,false,Steenbok,true,
06290026.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,11:00:01,Ok,false,Sunny,false,false,13,false,,false,
06290027.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,12:00:01,Ok,false,Sunny,false,false,15,false,,false,
06290028.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,13:00:01,Ok,false,Sunny,false,false,16,false,,false,
06290029.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,14:00:01,Ok,false,Sunny,false,false,20,false,,false,
06290030.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,15:00:01,Ok,false,Sunny,false,false,23,false,,false,
06290031.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,16:00:01,Ok,false,Shade,false,false,23,false,,false,
06290032.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,17:00:01,Dark,FALSE,Shade,FALSE,FALSE,25,FALSE,,false,
06290033.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,18:00:02,Ok,false,Dark,false,false,15,false,,false,
06290034.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,19:00:01,Dark,FALSE,Dark,FALSE,FALSE,15,FALSE,,false,
06290035.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,20:00:01,Dark,FALSE,Dark,FALSE,FALSE,15,FALSE,,false,
06290036.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,21:00:01,Dark,FALSE,Dark,FALSE,FALSE,15,FALSE,,false,
06290037.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,21:59:09,Dark,FALSE,Dark,FALSE,FALSE,15,FALSE,,false,
06290038.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,22:00:01,Dark,FALSE,Dark,FALSE,FALSE,15,FALSE,,false,
06290039.JPG,NPR3-2-Nov2017\100EK113,NPR3,29-Jun-2017,23:00:01,Dark,FALSE,Dark,FALSE,FALSE,15,FALSE,,false,
06300040.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,00:00:01,Dark,FALSE,Dark,FALSE,FALSE,13,FALSE,,false,
06300041.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,01:00:01,Dark,FALSE,Dark,FALSE,FALSE,13,FALSE,,false,
06300042.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,02:00:01,Dark,FALSE,Dark,FALSE,FALSE,13,FALSE,,false,
06300043.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,03:00:01,Dark,FALSE,Dark,FALSE,FALSE,13,FALSE,,false,
06300044.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,04:00:01,Dark,FALSE,Dark,FALSE,FALSE,12,FALSE,,false,
06300045.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,05:00:01,Dark,FALSE,Dark,FALSE,FALSE,11,FALSE,,false,
06300046.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,06:00:01,Dark,FALSE,Dark,FALSE,FALSE,11,FALSE,,false,
06300047.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,07:00:01,Dark,FALSE,Dark,FALSE,FALSE,10,FALSE,,false,
06300048.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,08:00:02,Ok,false,Shade,false,false,8,false,,false,
06300049.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,09:00:01,Ok,false,Shade,false,false,10,false,,false,
06300050.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,10:00:01,Ok,false,Sunny,false,false,15,false,,false,
06300051.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,11:00:02,Ok,false,Sunny,false,false,17,false,,false,
06300052.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,12:00:02,Ok,false,Sunny,false,false,21,false,,false,
06300053.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,13:00:02,Ok,false,Sunny,false,false,22,false,,false,
06300054.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,14:00:02,Ok,false,Sunny,false,false,25,false,,false,
06300055.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,15:00:01,Ok,false,Sunny,false,false,21,false,,false,
06300056.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,16:00:01,Ok,false,Shade,false,false,22,false,,false,
06300057.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,17:00:01,Ok,false,Sunny,false,false,16,false,,false,
06300058.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,18:00:03,Ok,false,Dark,false,false,13,false,,false,
06300059.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,19:00:01,Dark,FALSE,Dark,FALSE,FALSE,12,FALSE,,false,
06300060.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,20:00:01,Dark,FALSE,Dark,FALSE,FALSE,12,FALSE,,false,
06300061.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,21:00:01,Dark,FALSE,Dark,FALSE,FALSE,12,FALSE,,false,
06300062.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,22:00:01,Dark,FALSE,Dark,FALSE,FALSE,11,FALSE,,false,
06300063.JPG,NPR3-2-Nov2017\100EK113,NPR3,30-Jun-2017,23:00:01,Dark,FALSE,Dark,FALSE,FALSE,10,FALSE,,false,
07010064.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,00:00:01,Dark,FALSE,Dark,FALSE,FALSE,10,FALSE,,false,
07010065.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,01:00:01,Dark,FALSE,Dark,FALSE,FALSE,10,FALSE,,false,
07010066.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,02:00:01,Dark,FALSE,Dark,FALSE,FALSE,10,FALSE,,false,
07010067.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,03:00:01,Dark,FALSE,Dark,FALSE,FALSE,10,FALSE,,false,
07010068.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,04:00:01,Dark,FALSE,Dark,FALSE,FALSE,7,FALSE,,false,
07010069.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,05:00:01,Dark,FALSE,Dark,FALSE,FALSE,5,FALSE,,false,
07010070.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,06:00:01,Dark,FALSE,Dark,FALSE,FALSE,5,FALSE,,false,
07010071.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,07:00:01,Dark,FALSE,Dark,FALSE,FALSE,6,FALSE,,false,
07010072.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,08:00:02,Ok,false,Sunny,false,false,7,false,,false,
07010073.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,09:00:01,Ok,false,Sunny,false,false,8,false,,false,
07010074.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,10:00:01,Ok,false,Sunny,false,false,10,false,,false,
07010075.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,11:00:01,Ok,false,Sunny,false,false,11,false,,false,
07010076.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,12:00:01,Ok,false,Sunny,false,false,17,false,,false,
07010077.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,13:00:01,Ok,false,Sunny,false,false,20,false,,false,
07010078.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,14:00:01,Ok,false,Sunny,false,false,20,false,,false,
07010079.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,15:00:01,Ok,false,Shade,false,false,23,false,,false,
07010080.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,16:00:01,Ok,false,Shade,false,false,23,false,,false,
07010081.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,17:00:02,Ok,false,Shade,false,false,21,false,,false,
07010082.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,18:00:02,Ok,false,Dark,false,false,12,false,,false,
07010083.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,19:00:02,Dark,FALSE,Dark,FALSE,FALSE,10,FALSE,,false,
07010084.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,20:00:02,Dark,FALSE,Dark,FALSE,FALSE,8,FALSE,,false,
07010085.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,21:00:01,Dark,FALSE,Dark,FALSE,FALSE,7,FALSE,,false,
07010086.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,22:00:01,Dark,FALSE,Dark,FALSE,FALSE,6,FALSE,,false,
07010087.JPG,NPR3-2-Nov2017\100EK113,NPR3,01-Jul-2017,23:00:01,Dark,FALSE,Dark,FALSE,FALSE,5,FALSE,,false,
07020088.JPG,NPR3-2-Nov2017\100EK113,NPR3,02-Jul-2017,00:00:01,Dark,FALSE,Dark,FALSE,FALSE,5,FALSE,,false,
07020089.JPG,NPR3-2-Nov2017\100EK113,NPR3,02-Jul-2017,01:00:01,Dark,FALSE,Dark,FALSE,FALSE,5,FALSE,,false,
07020090.JPG,NPR3-2-Nov2017\100EK113,NPR3,02-Jul-2017,02:00:01,Dark,FALSE,Dark,FALSE,FALSE,5,FALSE,,false,
07020091.JPG,NPR3-2-Nov2017\100EK113,NPR3,02-Jul-2017,03:00:01,Dark,FALSE,Dark,FALSE,FALSE,5,FALSE,,false,
07020092.JPG,NPR3-2-Nov2017\100EK113,NPR3,02-Jul-2017,04:00:01,Dark,FALSE,Dark,FALSE,FALSE,5,FALSE,,false,
07020093.JPG,NPR3-2-Nov2017\100EK113,NPR3,02-Jul-2017,05:00:01,Dark,FALSE,Dark,FALSE,FALSE,5,FALSE,,false,
07020094.JPG,NPR3-2-Nov2017\100EK113,NPR3,02-Jul-2017,06:00:01,Dark,FALSE,Dark,FALSE,FALSE,5,FALSE,,false,
07020095.JPG,NPR3-2-Nov2017\100EK113,NPR3,02-Jul-2017,07:00:01,Dark,FALSE,Dark,FALSE,FALSE,5,FALSE,,false,
07020096.JPG,NPR3-2-Nov2017\100EK113,NPR3,02-Jul-2017,08:00:02,Ok,false,Shade,false,false,5,false,,false,
07020097.JPG,NPR3-2-Nov2017\100EK113,NPR3,02-Jul-2017,09:00:01,Ok,false,Shade,false,false,7,false,,false,
07020098.JPG,NPR3-2-Nov2017\100EK113,NPR3,02-Jul-2017,10:00:01,Ok,false,Sunny,false,false,13,false,,false,
