File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger,Comment
04210022.JPG,NPR1,NPR1 - April to June,21-Apr-17,9:07:20,Ok,FALSE,Sunny,TRUE,FALSE,20,TRUE,Human
04210023.JPG,NPR1,NPR1 - April to June,21-Apr-17,9:07:33,Ok,FALSE,Sunny,TRUE,FALSE,20,TRUE,Human
04210024.JPG,NPR1,NPR1 - April to June,21-Apr-17,10:00:02,Ok,FALSE,Sunny,TRUE,FALSE,30,FALSE,
04210025.JPG,NPR1,NPR1 - April to June,21-Apr-17,11:00:01,Ok,FALSE,Sunny,TRUE,FALSE,33,FALSE,
04210026.JPG,NPR1,NPR1 - April to June,21-Apr-17,12:00:01,Ok,FALSE,Sunny,TRUE,FALSE,31,FALSE,
04210027.JPG,NPR1,NPR1 - April to June,21-Apr-17,13:00:02,Ok,FALSE,Sunny,TRUE,FALSE,31,FALSE,
04210028.JPG,NPR1,NPR1 - April to June,21-Apr-17,14:00:01,Ok,FALSE,Sunny,TRUE,FALSE,38,FALSE,
04210029.JPG,NPR1,NPR1 - April to June,21-Apr-17,15:00:02,Ok,FALSE,Shade,TRUE,FALSE,36,FALSE,
04210030.JPG,NPR1,NPR1 - April to June,21-Apr-17,16:00:02,Ok,FALSE,Shade,TRUE,FALSE,30,FALSE,
04210031.JPG,NPR1,NPR1 - April to June,21-Apr-17,17:00:01,Ok,FALSE,Shade,TRUE,FALSE,26,FALSE,
04210032.JPG,NPR1,NPR1 - April to June,21-Apr-17,18:00:02,Ok,FALSE,Shade,TRUE,FALSE,26,FALSE,
04210033.JPG,NPR1,NPR1 - April to June,21-Apr-17,19:00:02,Dark,FALSE,Dark,TRUE,FALSE,23,FALSE,
04210034.JPG,NPR1,NPR1 - April to June,21-Apr-17,20:00:02,Dark,FALSE,Dark,TRUE,FALSE,21,FALSE,
04210035.JPG,NPR1,NPR1 - April to June,21-Apr-17,21:00:02,Dark,FALSE,Dark,TRUE,FALSE,16,FALSE,
04210036.JPG,NPR1,NPR1 - April to June,21-Apr-17,22:00:01,Dark,FALSE,Dark,TRUE,FALSE,15,FALSE,
04210037.JPG,NPR1,NPR1 - April to June,21-Apr-17,23:00:01,Dark,FALSE,Dark,TRUE,FALSE,12,FALSE,
04210038.JPG,NPR1,NPR1 - April to June,21-Apr-17,23:28:21,Dark,FALSE,Dark,TRUE,FALSE,12,TRUE,
04220039.JPG,NPR1,NPR1 - April to June,22-Apr-17,0:00:02,Dark,FALSE,Dark,TRUE,FALSE,11,FALSE,
04220040.JPG,NPR1,NPR1 - April to June,22-Apr-17,1:00:02,Dark,FALSE,Dark,TRUE,FALSE,10,FALSE,
04220041.JPG,NPR1,NPR1 - April to June,22-Apr-17,2:00:02,Dark,FALSE,Dark,TRUE,FALSE,10,FALSE,
04220042.JPG,NPR1,NPR1 - April to June,22-Apr-17,3:00:02,Dark,FALSE,Dark,TRUE,FALSE,10,FALSE,
04220043.JPG,NPR1,NPR1 - April to June,22-Apr-17,4:00:01,Dark,FALSE,Dark,TRUE,FALSE,8,FALSE,
04220044.JPG,NPR1,NPR1 - April to June,22-Apr-17,5:00:02,Dark,FALSE,Dark,TRUE,FALSE,7,FALSE,
04220045.JPG,NPR1,NPR1 - April to June,22-Apr-17,6:00:03,Dark,FALSE,Dark,TRUE,FALSE,7,FALSE,
04220046.JPG,NPR1,NPR1 - April to June,22-Apr-17,7:00:02,Ok,FALSE,Shade,TRUE,FALSE,6,FALSE,
04220047.JPG,NPR1,NPR1 - April to June,22-Apr-17,7:41:58,Ok,FALSE,Shade,TRUE,FALSE,6,TRUE,
04220048.JPG,NPR1,NPR1 - April to June,22-Apr-17,8:00:01,Ok,FALSE,Shade,TRUE,FALSE,7,FALSE,
04220049.JPG,NPR1,NPR1 - April to June,22-Apr-17,9:00:02,Ok,FALSE,Sunny,TRUE,FALSE,11,FALSE,
04220050.JPG,NPR1,NPR1 - April to June,22-Apr-17,10:00:02,Ok,FALSE,Sunny,TRUE,FALSE,26,FALSE,
04220051.JPG,NPR1,NPR1 - April to June,22-Apr-17,11:00:02,Ok,FALSE,Sunny,TRUE,FALSE,30,FALSE,
04220052.JPG,NPR1,NPR1 - April to June,22-Apr-17,12:00:01,Ok,FALSE,Sunny,TRUE,FALSE,31,FALSE,
04220053.JPG,NPR1,NPR1 - April to June,22-Apr-17,13:00:01,Ok,FALSE,Sunny,TRUE,FALSE,32,FALSE,
04220054.JPG,NPR1,NPR1 - April to June,22-Apr-17,14:00:01,Ok,FALSE,Sunny,TRUE,FALSE,35,FALSE,
04220055.JPG,NPR1,NPR1 - April to June,22-Apr-17,15:00:01,Ok,FALSE,Shade,TRUE,FALSE,36,FALSE,
04220056.JPG,NPR1,NPR1 - April to June,22-Apr-17,16:00:02,Ok,FALSE,Shade,TRUE,FALSE,31,FALSE,
04220057.JPG,NPR1,NPR1 - April to June,22-Apr-17,17:00:01,Ok,FALSE,Shade,TRUE,FALSE,27,FALSE,
04220058.JPG,NPR1,NPR1 - April to June,22-Apr-17,18:00:01,Ok,FALSE,Shade,TRUE,FALSE,26,FALSE,
04220059.JPG,NPR1,NPR1 - April to June,22-Apr-17,19:00:02,Dark,FALSE,Dark,TRUE,FALSE,25,FALSE,
04220060.JPG,NPR1,NPR1 - April to June,22-Apr-17,20:00:02,Dark,FALSE,Dark,TRUE,FALSE,22,FALSE,
04220061.JPG,NPR1,NPR1 - April to June,22-Apr-17,21:00:01,Dark,FALSE,Dark,TRUE,FALSE,21,FALSE,
04220062.JPG,NPR1,NPR1 - April to June,22-Apr-17,22:00:01,Dark,FALSE,Dark,TRUE,FALSE,16,FALSE,
04220063.JPG,NPR1,NPR1 - April to June,22-Apr-17,23:00:02,Dark,FALSE,Dark,TRUE,FALSE,15,FALSE,
04230064.JPG,NPR1,NPR1 - April to June,23-Apr-17,0:00:02,Dark,FALSE,Dark,TRUE,FALSE,13,FALSE,
04230065.JPG,NPR1,NPR1 - April to June,23-Apr-17,1:00:01,Dark,FALSE,Dark,TRUE,FALSE,12,FALSE,
04230066.JPG,NPR1,NPR1 - April to June,23-Apr-17,1:47:33,Dark,FALSE,Dark,TRUE,FALSE,11,TRUE,
04230067.JPG,NPR1,NPR1 - April to June,23-Apr-17,2:00:03,Dark,FALSE,Dark,TRUE,FALSE,11,FALSE,
04230068.JPG,NPR1,NPR1 - April to June,23-Apr-17,3:00:03,Dark,FALSE,Dark,TRUE,FALSE,10,FALSE,
04230069.JPG,NPR1,NPR1 - April to June,23-Apr-17,4:00:01,Dark,FALSE,Dark,TRUE,FALSE,10,FALSE,
04230070.JPG,NPR1,NPR1 - April to June,23-Apr-17,5:00:01,Dark,FALSE,Dark,TRUE,FALSE,10,FALSE,
04230071.JPG,NPR1,NPR1 - April to June,23-Apr-17,6:00:02,Dark,FALSE,Dark,TRUE,FALSE,8,FALSE,
04230072.JPG,NPR1,NPR1 - April to June,23-Apr-17,7:00:02,Ok,FALSE,Shade,TRUE,FALSE,8,FALSE,
04230073.JPG,NPR1,NPR1 - April to June,23-Apr-17,8:00:02,Ok,FALSE,Shade,TRUE,FALSE,8,FALSE,
04230074.JPG,NPR1,NPR1 - April to June,23-Apr-17,9:00:01,Ok,FALSE,Sunny,TRUE,FALSE,12,FALSE,
04230075.JPG,NPR1,NPR1 - April to June,23-Apr-17,10:00:01,Ok,FALSE,Sunny,TRUE,FALSE,25,FALSE,
04230076.JPG,NPR1,NPR1 - April to June,23-Apr-17,11:00:01,Ok,FALSE,Sunny,TRUE,FALSE,26,FALSE,
04230077.JPG,NPR1,NPR1 - April to June,23-Apr-17,12:00:01,Ok,FALSE,Sunny,TRUE,FALSE,25,FALSE,
04230078.JPG,NPR1,NPR1 - April to June,23-Apr-17,13:00:02,Ok,FALSE,Sunny,TRUE,FALSE,25,FALSE,
