File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger,Comment,
04200001.JPG,April - June,NPR3,20-Apr-2017,12:00:44,Ok,false,Sunny,false,false,36,true,Human,
04200002.JPG,April - June,NPR3,20-Apr-2017,12:00:58,Ok,false,Sunny,false,false,36,true,Human,
04200003.JPG,April - June,NPR3,20-Apr-2017,13:00:01,Ok,false,Sunny,false,false,31,false,,
04200004.JPG,April - June,NPR3,20-Apr-2017,14:00:01,Ok,false,Sunny,false,false,32,false,,
04200005.JPG,April - June,NPR3,20-Apr-2017,15:00:01,Ok,false,Sunny,false,false,36,false,,
04200006.JPG,April - June,NPR3,20-Apr-2017,16:00:01,Ok,false,Shade,false,false,33,false,,
04200007.JPG,April - June,NPR3,20-Apr-2017,17:00:01,Ok,false,Shade,false,false,45,false,,
04200008.JPG,April - June,NPR3,20-Apr-2017,18:00:01,Ok,false,Shade,false,false,35,false,,
04200009.JPG,April - June,NPR3,20-Apr-2017,19:00:02,Dark,false,Dark,false,false,22,false,,
04200010.JPG,April - June,NPR3,20-Apr-2017,20:00:01,Dark,false,Dark,false,false,17,false,,
04200011.JPG,April - June,NPR3,20-Apr-2017,21:00:01,Dark,false,Dark,false,false,13,false,,
04200012.JPG,April - June,NPR3,20-Apr-2017,22:00:01,Dark,false,Dark,false,false,11,false,,
04200013.JPG,April - June,NPR3,20-Apr-2017,22:42:00,Dark,false,Dark,false,true,10,false,Steenbok,
04200014.JPG,April - June,NPR3,20-Apr-2017,23:00:01,Dark,false,Dark,false,false,10,false,,
04210015.JPG,April - June,NPR3,21-Apr-2017,00:00:01,Dark,false,Dark,false,false,10,false,,
04210016.JPG,April - June,NPR3,21-Apr-2017,01:00:01,Dark,false,Dark,false,false,10,false,,
04210017.JPG,April - June,NPR3,21-Apr-2017,02:00:01,Dark,false,Dark,false,false,8,false,,
04210018.JPG,April - June,NPR3,21-Apr-2017,03:00:01,Dark,false,Dark,false,false,10,false,,
04210019.JPG,April - June,NPR3,21-Apr-2017,04:00:01,Dark,false,Dark,false,false,7,false,,
04210020.JPG,April - June,NPR3,21-Apr-2017,05:00:01,Dark,false,Dark,false,false,6,false,,
04210021.JPG,April - June,NPR3,21-Apr-2017,06:00:02,Dark,false,Dark,false,false,5,false,,
04210022.JPG,April - June,NPR3,21-Apr-2017,07:00:02,Ok,false,Sunny,false,false,5,false,,
04210023.JPG,April - June,NPR3,21-Apr-2017,08:00:02,Ok,false,Shade,false,false,8,false,,
04210024.JPG,April - June,NPR3,21-Apr-2017,09:00:02,Ok,false,Sunny,false,false,13,false,,
04210025.JPG,April - June,NPR3,21-Apr-2017,10:00:01,Ok,false,Sunny,false,false,22,false,,
04210026.JPG,April - June,NPR3,21-Apr-2017,11:00:01,Ok,false,Sunny,false,false,26,false,,
04210027.JPG,April - June,NPR3,21-Apr-2017,12:00:01,Ok,false,Sunny,false,false,30,false,,
04210028.JPG,April - June,NPR3,21-Apr-2017,13:00:01,Ok,false,Sunny,false,false,31,false,,
04210029.JPG,April - June,NPR3,21-Apr-2017,14:00:01,Ok,false,Sunny,false,false,33,false,,
04210030.JPG,April - June,NPR3,21-Apr-2017,15:00:01,Ok,false,Sunny,false,false,36,false,,
04210031.JPG,April - June,NPR3,21-Apr-2017,16:00:01,Ok,false,Sunny,false,false,33,false,,
04210032.JPG,April - June,NPR3,21-Apr-2017,17:00:01,Dark,false,Shade,false,false,45,false,,
04210033.JPG,April - June,NPR3,21-Apr-2017,18:00:01,Ok,false,Shade,false,false,35,false,,
04210034.JPG,April - June,NPR3,21-Apr-2017,19:00:02,Dark,false,Dark,false,false,23,false,,
04210035.JPG,April - June,NPR3,21-Apr-2017,20:00:01,Dark,false,Dark,false,false,20,false,,
04210036.JPG,April - June,NPR3,21-Apr-2017,21:00:01,Dark,false,Dark,false,false,15,false,,
04210037.JPG,April - June,NPR3,21-Apr-2017,22:00:01,Dark,false,Dark,false,false,12,false,,
04210038.JPG,April - June,NPR3,21-Apr-2017,23:00:01,Dark,false,Dark,false,false,10,false,,
04220039.JPG,April - June,NPR3,22-Apr-2017,00:00:01,Dark,false,Dark,false,false,10,false,,
04220040.JPG,April - June,NPR3,22-Apr-2017,01:00:01,Dark,false,Dark,false,false,10,false,,
04220041.JPG,April - June,NPR3,22-Apr-2017,02:00:01,Dark,false,Dark,false,false,8,false,,
04220042.JPG,April - June,NPR3,22-Apr-2017,03:00:01,Dark,false,Dark,false,false,7,false,,
04220043.JPG,April - June,NPR3,22-Apr-2017,04:00:01,Dark,false,Dark,false,false,7,false,,
04220044.JPG,April - June,NPR3,22-Apr-2017,05:00:01,Dark,false,Dark,false,false,7,false,,
04220045.JPG,April - June,NPR3,22-Apr-2017,06:00:01,Dark,false,Dark,false,false,6,false,,
04220046.JPG,April - June,NPR3,22-Apr-2017,07:00:02,Ok,false,Sunny,false,false,5,false,,
04220047.JPG,April - June,NPR3,22-Apr-2017,08:00:01,Ok,false,Shade,false,false,5,false,,
04220048.JPG,April - June,NPR3,22-Apr-2017,08:17:53,Ok,false,Shade,false,false,7,true,,
04220049.JPG,April - June,NPR3,22-Apr-2017,09:00:01,Ok,false,Sunny,false,false,13,false,,
04220050.JPG,April - June,NPR3,22-Apr-2017,10:00:01,Ok,false,Sunny,false,false,23,false,,
04220051.JPG,April - June,NPR3,22-Apr-2017,11:00:02,Ok,false,Sunny,false,false,25,false,,
04220052.JPG,April - June,NPR3,22-Apr-2017,12:00:02,Ok,false,Sunny,false,false,30,false,,
04220053.JPG,April - June,NPR3,22-Apr-2017,13:00:02,Ok,false,Sunny,false,false,31,false,,
04220054.JPG,April - June,NPR3,22-Apr-2017,14:00:01,Ok,false,Sunny,false,false,33,false,,
04220055.JPG,April - June,NPR3,22-Apr-2017,15:00:01,Ok,false,Sunny,false,false,40,false,,
04220056.JPG,April - June,NPR3,22-Apr-2017,16:00:01,Ok,false,Sunny,false,false,36,false,,
04220057.JPG,April - June,NPR3,22-Apr-2017,17:00:01,Dark,false,Shade,false,false,47,false,,
04220058.JPG,April - June,NPR3,22-Apr-2017,18:00:01,Ok,false,Shade,false,false,35,false,,
04220059.JPG,April - June,NPR3,22-Apr-2017,19:00:02,Dark,false,Dark,false,false,25,false,,
04220060.JPG,April - June,NPR3,22-Apr-2017,19:49:00,Dark,false,Dark,false,false,22,true,,
04220061.JPG,April - June,NPR3,22-Apr-2017,20:00:01,Dark,false,Dark,false,false,21,false,,
04220062.JPG,April - June,NPR3,22-Apr-2017,21:00:01,Dark,false,Dark,false,false,20,false,,
04220063.JPG,April - June,NPR3,22-Apr-2017,22:00:01,Dark,false,Dark,false,false,16,false,,
04220064.JPG,April - June,NPR3,22-Apr-2017,23:00:01,Dark,false,Dark,false,false,13,false,,
04230065.JPG,April - June,NPR3,23-Apr-2017,00:00:01,Dark,false,Dark,false,false,11,false,,
04230066.JPG,April - June,NPR3,23-Apr-2017,01:00:01,Dark,false,Dark,false,false,10,false,,
04230067.JPG,April - June,NPR3,23-Apr-2017,02:00:01,Dark,false,Dark,false,false,8,false,,
04230068.JPG,April - June,NPR3,23-Apr-2017,03:00:01,Dark,false,Dark,false,false,7,false,,
04230069.JPG,April - June,NPR3,23-Apr-2017,04:00:01,Dark,false,Dark,false,false,6,false,,
04230070.JPG,April - June,NPR3,23-Apr-2017,05:00:01,Dark,false,Dark,false,false,5,false,,
04230071.JPG,April - June,NPR3,23-Apr-2017,06:00:01,Dark,false,Dark,false,false,5,false,,
04230072.JPG,April - June,NPR3,23-Apr-2017,07:00:02,Ok,false,Sunny,false,false,5,false,,
04230073.JPG,April - June,NPR3,23-Apr-2017,08:00:01,Ok,false,Shade,false,false,8,false,,
04230074.JPG,April - June,NPR3,23-Apr-2017,09:00:01,Ok,false,Sunny,false,false,15,false,,
04230075.JPG,April - June,NPR3,23-Apr-2017,10:00:01,Ok,false,Sunny,false,false,21,false,,
04230076.JPG,April - June,NPR3,23-Apr-2017,11:00:01,Ok,false,Sunny,false,false,21,false,,
04230077.JPG,April - June,NPR3,23-Apr-2017,12:00:01,Ok,false,Sunny,false,false,25,false,,
04230078.JPG,April - June,NPR3,23-Apr-2017,13:00:01,Ok,false,Sunny,false,false,26,false,,
04230079.JPG,April - June,NPR3,23-Apr-2017,14:00:01,Ok,false,Sunny,false,false,27,false,,
04230080.JPG,April - June,NPR3,23-Apr-2017,15:00:02,Ok,false,Sunny,false,false,31,false,,
04230081.JPG,April - June,NPR3,23-Apr-2017,16:00:02,Ok,false,Shade,false,false,28,false,,
04230082.JPG,April - June,NPR3,23-Apr-2017,17:00:02,Dark,false,Shade,false,false,36,false,,
04230083.JPG,April - June,NPR3,23-Apr-2017,18:00:01,Ok,false,Shade,false,false,26,false,,
04230084.JPG,April - June,NPR3,23-Apr-2017,19:00:03,Dark,false,Dark,false,false,20,false,,
04230085.JPG,April - June,NPR3,23-Apr-2017,20:00:01,Dark,false,Dark,false,false,16,false,,
04230086.JPG,April - June,NPR3,23-Apr-2017,21:00:01,Dark,false,Dark,false,false,15,false,,
04230087.JPG,April - June,NPR3,23-Apr-2017,22:00:01,Dark,false,Dark,false,false,13,false,,
04230088.JPG,April - June,NPR3,23-Apr-2017,23:00:01,Dark,false,Dark,false,false,12,false,,
04240089.JPG,April - June,NPR3,24-Apr-2017,00:00:01,Dark,false,Dark,false,false,12,false,,
