File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger,Comment,Method
01270775.JPG,NPR3-2017-11-21-end\101EK113,NPR3,27-Jan-18,16:52:52,Ok,FALSE,Shade,TRUE,TRUE,33,FALSE,Baboon,TRUE
01280796.JPG,NPR3-2017-11-21-end\101EK113,NPR3,28-Jan-18,11:36:08,Ok,FALSE,Sunny,TRUE,TRUE,28,FALSE,Baboon,TRUE
01280802.JPG,NPR3-2017-11-21-end\101EK113,NPR3,28-Jan-18,15:23:51,Ok,FALSE,Sunny,TRUE,TRUE,36,FALSE,Baboon,TRUE
02050010.JPG,NPR3-2017-11-21-end\102EK113,NPR3,05-Feb-18,12:47:02,Ok,FALSE,Sunny,TRUE,TRUE,35,FALSE,Baboon,TRUE
02090120.JPG,NPR3-2017-11-21-end\102EK113,NPR3,09-Feb-18,11:06:46,Ok,FALSE,Sunny,TRUE,TRUE,33,FALSE,Baboon,TRUE
02130240.JPG,NPR3-2017-11-21-end\102EK113,NPR3,13-Feb-18,15:18:32,Ok,FALSE,Sunny,TRUE,TRUE,37,FALSE,Baboon,TRUE
02130241.JPG,NPR3-2017-11-21-end\102EK113,NPR3,13-Feb-18,16:00:02,Ok,FALSE,Sunny,TRUE,TRUE,33,FALSE,Baboon,FALSE
02140262.JPG,NPR3-2017-11-21-end\102EK113,NPR3,14-Feb-18,11:16:38,Ok,FALSE,Sunny,TRUE,TRUE,30,FALSE,Baboon,TRUE
02140270.JPG,NPR3-2017-11-21-end\102EK113,NPR3,14-Feb-18,15:20:28,Ok,FALSE,Sunny,TRUE,TRUE,36,FALSE,Baboon,TRUE
02170339.JPG,NPR3-2017-11-21-end\102EK113,NPR3,17-Feb-18,8:12:46,Ok,FALSE,Sunny,TRUE,TRUE,20,FALSE,Baboon,TRUE
02200418.JPG,NPR3-2017-11-21-end\102EK113,NPR3,20-Feb-18,15:00:02,Ok,FALSE,Sunny,TRUE,TRUE,32,FALSE,Baboon,FALSE
02200419.JPG,NPR3-2017-11-21-end\102EK113,NPR3,20-Feb-18,15:02:35,Ok,FALSE,Sunny,TRUE,TRUE,32,FALSE,Baboon,TRUE
02210446.JPG,NPR3-2017-11-21-end\102EK113,NPR3,21-Feb-18,16:35:24,Ok,FALSE,Shade,TRUE,TRUE,41,FALSE,Baboon,TRUE
02210448.JPG,NPR3-2017-11-21-end\102EK113,NPR3,21-Feb-18,18:00:02,Dark,FALSE,Shade,TRUE,TRUE,32,FALSE,Baboon,FALSE
02210449.JPG,NPR3-2017-11-21-end\102EK113,NPR3,21-Feb-18,18:16:22,Dark,FALSE,Shade,TRUE,TRUE,31,FALSE,Baboon,TRUE
02230498.JPG,NPR3-2017-11-21-end\102EK113,NPR3,23-Feb-18,14:26:53,Ok,FALSE,Sunny,TRUE,TRUE,31,FALSE,Baboon,TRUE
02240525.JPG,NPR3-2017-11-21-end\102EK113,NPR3,24-Feb-18,13:23:02,Ok,FALSE,Sunny,TRUE,TRUE,22,FALSE,Baboon,TRUE
02250551.JPG,NPR3-2017-11-21-end\102EK113,NPR3,25-Feb-18,13:39:43,Ok,FALSE,Sunny,TRUE,TRUE,26,FALSE,Baboon,TRUE
01250718.JPG,NPR3-2017-11-21-end\101EK113,NPR3,25-Jan-18,9:26:20,Ok,FALSE,Sunny,TRUE,TRUE,22,FALSE,Cattle,TRUE
01250721.JPG,NPR3-2017-11-21-end\101EK113,NPR3,25-Jan-18,11:17:26,Ok,FALSE,Sunny,TRUE,TRUE,26,FALSE,Cattle,TRUE
01280797.JPG,NPR3-2017-11-21-end\101EK113,NPR3,28-Jan-18,12:00:02,Ok,FALSE,Sunny,TRUE,TRUE,28,FALSE,Cattle,FALSE
01300844.JPG,NPR3-2017-11-21-end\101EK113,NPR3,30-Jan-18,6:25:56,Ok,FALSE,Shade,TRUE,TRUE,20,FALSE,Cattle,TRUE
01300848.JPG,NPR3-2017-11-21-end\101EK113,NPR3,30-Jan-18,9:58:22,Ok,FALSE,Sunny,TRUE,TRUE,26,FALSE,Cattle,TRUE
01300849.JPG,NPR3-2017-11-21-end\101EK113,NPR3,30-Jan-18,10:00:02,Ok,FALSE,Sunny,TRUE,TRUE,26,FALSE,Cattle,FALSE
01300850.JPG,NPR3-2017-11-21-end\101EK113,NPR3,30-Jan-18,10:00:15,Ok,FALSE,Sunny,TRUE,TRUE,26,FALSE,Cattle,TRUE
02020925.JPG,NPR3-2017-11-21-end\101EK113,NPR3,02-Feb-18,9:38:34,Ok,FALSE,Sunny,TRUE,TRUE,22,FALSE,Cattle,TRUE
02020927.JPG,NPR3-2017-11-21-end\101EK113,NPR3,02-Feb-18,10:18:58,Ok,FALSE,Sunny,TRUE,TRUE,25,FALSE,Cattle,TRUE
02020934.JPG,NPR3-2017-11-21-end\101EK113,NPR3,02-Feb-18,16:11:12,Ok,FALSE,Sunny,TRUE,TRUE,26,FALSE,Cattle,TRUE
02050996.JPG,NPR3-2017-11-21-end\101EK113,NPR3,05-Feb-18,3:19:10,Dark,FALSE,Dark,TRUE,TRUE,13,FALSE,Cattle,TRUE
02050002.JPG,NPR3-2017-11-21-end\102EK113,NPR3,05-Feb-18,7:45:57,Ok,FALSE,Sunny,TRUE,TRUE,17,FALSE,Cattle,TRUE
02050003.JPG,NPR3-2017-11-21-end\102EK113,NPR3,05-Feb-18,8:00:02,Ok,FALSE,Sunny,TRUE,TRUE,20,FALSE,Cattle,FALSE
02050004.JPG,NPR3-2017-11-21-end\102EK113,NPR3,05-Feb-18,8:01:36,Ok,FALSE,Sunny,TRUE,TRUE,20,FALSE,Cattle,TRUE
02050007.JPG,NPR3-2017-11-21-end\102EK113,NPR3,05-Feb-18,10:28:49,Ok,FALSE,Sunny,TRUE,TRUE,27,FALSE,Cattle,TRUE
02050018.JPG,NPR3-2017-11-21-end\102EK113,NPR3,05-Feb-18,18:59:12,Dark,FALSE,Shade,TRUE,TRUE,37,FALSE,Cattle,TRUE
02080101.JPG,NPR3-2017-11-21-end\102EK113,NPR3,08-Feb-18,19:24:16,Dark,FALSE,Dark,TRUE,TRUE,31,FALSE,Cattle,TRUE
02090113.JPG,NPR3-2017-11-21-end\102EK113,NPR3,09-Feb-18,6:57:24,Ok,FALSE,Shade,TRUE,TRUE,20,FALSE,Cattle,TRUE
02090114.JPG,NPR3-2017-11-21-end\102EK113,NPR3,09-Feb-18,7:00:02,Ok,FALSE,Shade,TRUE,TRUE,20,FALSE,Cattle,FALSE
02090115.JPG,NPR3-2017-11-21-end\102EK113,NPR3,09-Feb-18,7:00:16,Ok,FALSE,Shade,TRUE,TRUE,20,FALSE,Cattle,TRUE
02100139.JPG,NPR3-2017-11-21-end\102EK113,NPR3,10-Feb-18,3:19:14,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE,Cattle,TRUE
02100147.JPG,NPR3-2017-11-21-end\102EK113,NPR3,10-Feb-18,9:02:42,Ok,FALSE,Shade,TRUE,TRUE,21,FALSE,Cattle,TRUE
02100156.JPG,NPR3-2017-11-21-end\102EK113,NPR3,10-Feb-18,16:11:57,Ok,FALSE,Sunny,TRUE,TRUE,36,FALSE,Cattle,TRUE
02140263.JPG,NPR3-2017-11-21-end\102EK113,NPR3,14-Feb-18,12:00:02,Ok,FALSE,Sunny,TRUE,TRUE,32,FALSE,Cattle,FALSE
02140264.JPG,NPR3-2017-11-21-end\102EK113,NPR3,14-Feb-18,12:00:18,Ok,FALSE,Sunny,TRUE,TRUE,32,FALSE,Cattle,TRUE
02140267.JPG,NPR3-2017-11-21-end\102EK113,NPR3,14-Feb-18,14:00:02,Ok,FALSE,Sunny,TRUE,TRUE,35,FALSE,Cattle,FALSE
02140268.JPG,NPR3-2017-11-21-end\102EK113,NPR3,14-Feb-18,14:00:20,Ok,FALSE,Sunny,TRUE,TRUE,36,FALSE,Cattle,TRUE
