"","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName"
"1","StationA","PBE",2009-04-21 00:40:00,2009-04-21,"00:40:00",0,0,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationA/PBE","StationA__2009-04-21__00-40-00(1).JPG"
"2","StationA","PBE",2009-04-22 20:19:00,2009-04-22,"20:19:00",157140,2619,43.6,1.8,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationA/PBE","StationA__2009-04-22__20-19-00(1).JPG"
"3","StationA","PBE",2009-04-22 20:21:00,2009-04-22,"20:21:00",120,2,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationA/PBE","StationA__2009-04-22__20-21-00(1).JPG"
"4","StationA","PBE",2009-04-23 00:07:00,2009-04-23,"00:07:00",13560,226,3.8,0.2,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationA/PBE","StationA__2009-04-23__00-07-00(1).JPG"
"5","StationA","PBE",2009-04-23 00:09:00,2009-04-23,"00:09:00",120,2,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationA/PBE","StationA__2009-04-23__00-09-00(1).JPG"
"6","StationA","PBE",2009-05-07 17:11:00,2009-05-07,"17:11:00",1270920,21182,353,14.7,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationA/PBE","StationA__2009-05-07__17-11-00(1).JPG"
"7","StationA","VTA",2009-04-10 05:07:00,2009-04-10,"05:07:00",0,0,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationA/VTA","StationA__2009-04-10__05-07-00(1).JPG"
"8","StationA","VTA",2009-05-06 19:06:00,2009-05-06,"19:06:00",2296740,38279,638,26.6,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationA/VTA","StationA__2009-05-06__19-06-00(1).JPG"
"9","StationB","MNE",2009-04-15 07:21:00,2009-04-15,"07:21:00",0,0,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationB/MNE","StationB__2009-04-15__07-21-00(1).JPG"
"10","StationB","MNE",2009-04-15 07:23:00,2009-04-15,"07:23:00",120,2,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationB/MNE","StationB__2009-04-15__07-23-00(1).JPG"
"11","StationB","MNE",2009-04-28 17:47:00,2009-04-28,"17:47:00",1160640,19344,322.4,13.4,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationB/MNE","StationB__2009-04-28__17-47-00(1).JPG"
"12","StationB","MNE",2009-04-28 17:48:00,2009-04-28,"17:48:00",60,1,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationB/MNE","StationB__2009-04-28__17-48-00(1).JPG"
"13","StationB","MNE",2009-04-28 17:49:00,2009-04-28,"17:49:00",60,1,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationB/MNE","StationB__2009-04-28__17-49-00(1).JPG"
"14","StationB","NO_ID",2009-05-07 18:45:00,2009-05-07,"18:45:00",0,0,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationB/NO_ID","StationB__2009-05-07__18-45-00(1).JPG"
"15","StationB","PBE",2009-04-05 00:11:00,2009-04-05,"00:11:00",0,0,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationB/PBE","StationB__2009-04-05__00-11-00(1).JPG"
"16","StationB","PBE",2009-04-05 23:13:00,2009-04-05,"23:13:00",82920,1382,23,1,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationB/PBE","StationB__2009-04-05__23-13-00(1).JPG"
"17","StationB","PBE",2009-04-07 00:23:00,2009-04-07,"00:23:00",90600,1510,25.2,1.1,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationB/PBE","StationB__2009-04-07__00-23-00(1).JPG"
"18","StationB","PBE",2009-04-10 04:07:00,2009-04-10,"04:07:00",272640,4544,75.7,3.2,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationB/PBE","StationB__2009-04-10__04-07-00(1).JPG"
"19","StationB","PBE",2009-04-10 04:08:00,2009-04-10,"04:08:00",60,1,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationB/PBE","StationB__2009-04-10__04-08-00(1).JPG"
"20","StationB","PBE",2009-04-14 06:13:00,2009-04-14,"06:13:00",353100,5885,98.1,4.1,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationB/PBE","StationB__2009-04-14__06-13-00(1).JPG"
"21","StationB","PBE",2009-04-24 22:54:00,2009-04-24,"22:54:00",924060,15401,256.7,10.7,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationB/PBE","StationB__2009-04-24__22-54-00(1).JPG"
"22","StationB","PBE",2009-04-25 04:33:00,2009-04-25,"04:33:00",20340,339,5.7,0.2,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationB/PBE","StationB__2009-04-25__04-33-00(1).JPG"
"23","StationB","PBE",2009-05-14 02:11:00,2009-05-14,"02:11:00",1633080,27218,453.6,18.9,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationB/PBE","StationB__2009-05-14__02-11-00(1).JPG"
"24","StationB","VTA",2009-04-15 19:12:00,2009-04-15,"19:12:00",0,0,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationB/VTA","StationB__2009-04-15__19-12-00(1).JPG"
"25","StationB","VTA",2009-04-27 05:07:00,2009-04-27,"05:07:00",986100,16435,273.9,11.4,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationB/VTA","StationB__2009-04-27__05-07-00(1).JPG"
"26","StationC","EGY",2009-04-06 03:49:00,2009-04-06,"03:49:00",0,0,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/EGY","StationC__2009-04-06__03-49-00(1).JPG"
"27","StationC","EGY",2009-04-12 20:26:00,2009-04-12,"20:26:00",578220,9637,160.6,6.7,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/EGY","StationC__2009-04-12__20-26-00(1).JPG"
"28","StationC","EGY",2009-04-23 02:25:00,2009-04-23,"02:25:00",885540,14759,246,10.2,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/EGY","StationC__2009-04-23__02-25-00(1).JPG"
"29","StationC","EGY",2009-04-23 02:27:00,2009-04-23,"02:27:00",120,2,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/EGY","StationC__2009-04-23__02-27-00(1).JPG"
"30","StationC","EGY",2009-04-25 03:09:00,2009-04-25,"03:09:00",175320,2922,48.7,2,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/EGY","StationC__2009-04-25__03-09-00(1).JPG"
"31","StationC","EGY",2009-04-27 00:17:00,2009-04-27,"00:17:00",162480,2708,45.1,1.9,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/EGY","StationC__2009-04-27__00-17-00(1).JPG"
"32","StationC","EGY",2009-05-02 03:35:00,2009-05-02,"03:35:00",443880,7398,123.3,5.1,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/EGY","StationC__2009-05-02__03-35-00(1).JPG"
"33","StationC","EGY",2009-05-02 03:36:00,2009-05-02,"03:36:00",60,1,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/EGY","StationC__2009-05-02__03-36-00(1).JPG"
"34","StationC","PBE",2009-04-06 03:00:00,2009-04-06,"03:00:00",0,0,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/PBE","StationC__2009-04-06__03-00-00(1).JPG"
"35","StationC","PBE",2009-04-14 23:30:00,2009-04-14,"23:30:00",765000,12750,212.5,8.9,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/PBE","StationC__2009-04-14__23-30-00(1).JPG"
"36","StationC","PBE",2009-04-18 22:57:00,2009-04-18,"22:57:00",343620,5727,95.5,4,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/PBE","StationC__2009-04-18__22-57-00(1).JPG"
"37","StationC","PBE",2009-04-23 03:33:00,2009-04-23,"03:33:00",362160,6036,100.6,4.2,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/PBE","StationC__2009-04-23__03-33-00(1).JPG"
"38","StationC","PBE",2009-04-23 03:34:00,2009-04-23,"03:34:00",60,1,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/PBE","StationC__2009-04-23__03-34-00(1).JPG"
"39","StationC","PBE",2009-05-05 18:24:00,2009-05-05,"18:24:00",1090200,18170,302.8,12.6,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/PBE","StationC__2009-05-05__18-24-00(1).JPG"
"40","StationC","PBE",2009-05-05 18:25:00,2009-05-05,"18:25:00",60,1,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/PBE","StationC__2009-05-05__18-25-00(1).JPG"
"41","StationC","PBE",2009-05-07 18:47:00,2009-05-07,"18:47:00",174120,2902,48.4,2,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/PBE","StationC__2009-05-07__18-47-00(1).JPG"
"42","StationC","TRA",2009-04-11 21:44:00,2009-04-11,"21:44:00",0,0,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/TRA","StationC__2009-04-11__21-44-00(1).JPG"
"43","StationC","TRA",2009-04-11 21:46:00,2009-04-11,"21:46:00",120,2,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/TRA","StationC__2009-04-11__21-46-00(1).JPG"
"44","StationC","TRA",2009-04-13 22:38:00,2009-04-13,"22:38:00",175920,2932,48.9,2,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/TRA","StationC__2009-04-13__22-38-00(1).JPG"
"45","StationC","TRA",2009-04-14 00:18:00,2009-04-14,"00:18:00",6000,100,1.7,0.1,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/TRA","StationC__2009-04-14__00-18-00(1).JPG"
"46","StationC","TRA",2009-04-24 19:26:00,2009-04-24,"19:26:00",932880,15548,259.1,10.8,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/TRA","StationC__2009-04-24__19-26-00(1).JPG"
"47","StationC","TRA",2009-04-24 19:27:00,2009-04-24,"19:27:00",60,1,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/TRA","StationC__2009-04-24__19-27-00(1).JPG"
"48","StationC","TRA",2009-04-27 00:19:00,2009-04-27,"00:19:00",190320,3172,52.9,2.2,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/TRA","StationC__2009-04-27__00-19-00(1).JPG"
"49","StationC","TRA",2009-04-27 00:20:00,2009-04-27,"00:20:00",60,1,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/TRA","StationC__2009-04-27__00-20-00(1).JPG"
"50","StationC","TRA",2009-05-01 20:10:00,2009-05-01,"20:10:00",417000,6950,115.8,4.8,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/TRA","StationC__2009-05-01__20-10-00(1).JPG"
"51","StationC","TRA",2009-05-01 20:12:00,2009-05-01,"20:12:00",120,2,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/TRA","StationC__2009-05-01__20-12-00(1).JPG"
"52","StationC","TRA",2009-05-02 00:10:00,2009-05-02,"00:10:00",14280,238,4,0.2,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/TRA","StationC__2009-05-02__00-10-00(1).JPG"
"53","StationC","TRA",2009-05-02 00:11:00,2009-05-02,"00:11:00",60,1,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/TRA","StationC__2009-05-02__00-11-00(1).JPG"
"54","StationC","TRA",2009-05-12 02:32:00,2009-05-12,"02:32:00",872460,14541,242.3,10.1,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/TRA","StationC__2009-05-12__02-32-00(1).JPG"
"55","StationC","TRA",2009-05-12 02:34:00,2009-05-12,"02:34:00",120,2,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/TRA","StationC__2009-05-12__02-34-00(1).JPG"
"56","StationC","VTA",2009-04-24 02:57:00,2009-04-24,"02:57:00",0,0,0,0,"C:/Users/PC/Documents/R/win-library/3.5/camtrapR/pictures/sample_images/StationC/VTA","StationC__2009-04-24__02-57-00(1).JPG"
