"","AWC","Baboon","Caracal","Cattle","Dog","Eland","Jackal","Klipspringer","Kudu","Mongoose","Oryx","Porcupine","Hare","Steenbok"
"AWC",0,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0
"Baboon",0,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0
"Caracal",0,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0
"Cattle",0,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0
"Dog",0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0,0.666666666666667,0.666666666666667,1,0.666666666666667,1,0.5,1,1,0.666666666666667
"Eland",0,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0
"Jackal",0,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0
"Klipspringer",0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,0,0.333333333333333,0.5,0.666666666666667,0.5,0.5,0.333333333333333
"Kudu",0,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0
"Mongoose",0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0,0.5,1,0,0.666666666666667
"Oryx",0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.5,0,1,0.5,0.333333333333333
"Porcupine",0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667,0.5,0.666666666666667,1,1,0,1,0.666666666666667
"Hare",0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0,0.5,1,0,0.666666666666667
"Steenbok",0,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0
